#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,,,チャプター21：上条当麻の学校　土御門 元春　吹寄 制理　,,,,
#,,,肝心なのは中身,
1,吹寄 制理,8000101,あんたたちが揃うと、ほんとろくでもない話ばっかりね。,900080015,11,ef_com_00100_002_004_00,
2,土御門 元春,3000101,ろくでもないなんて失敬な！<br>セーラー派かブレザー派かは永遠のテーマだぜぃ？,900030007,15,
3,吹寄 制理,8000101,制服なんてどうでもいいじゃない、肝心なのは中身よ。,900080007,10,
4,土御門 元春,3000101,吹寄、案外大胆なことを言うんだにゃー。,900030004,10,ef_com_00100_002_001_00,
5,吹寄 制理,8000101,？　どういう意味？,900080030,14,ef_com_00100_002_002_00,
6,土御門 元春,3000101,つまり制服の形にこだわるより、それに包まれた<br>身体の方を見て欲しいってことだにゃー？,900030002,17,ef_com_00100_002_007_00,
7,吹寄 制理,8000101,なっ……別にそんな意味で言ったんじゃないわ！<br>変なこと言わないでよ！！,900080017,17,ef_com_00100_002_003_00,





