#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,スポット会話,,チャプター08：上条当麻の学校　上条 当麻　土御門 元春　,
#,,,世界一のメイドさん,
1,上条 当麻,1000101,うーん……。,900010015,11,ef_com_00100_002_004_00,
2,土御門 元春,3000101,どうした、カミやん。,900030029,10,ef_com_00100_002_001_00,
3,上条 当麻,1000101,いや、今日の晩飯、どうしようかと思ってさ。,900010007,10,
4,上条 当麻,1000101,俺一人だったら何でもいいんだけど、<br>うちには育ち盛りが一人いるからさぁ。,0,11,ef_com_00100_002_006_00,
5,土御門 元春,3000101,カミやん……最近じゃすっかり<br>主婦みたいな言動になってるにゃ－。,900030004,14,ef_com_00100_002_004_00,
6,上条 当麻,1000101,言うなよ……俺も薄々そんな気がしてんだから……。,900010018,21,ef_com_00100_002_003_00,
7,土御門 元春,3000101,とりあえず、今日はうちに食べに来るか？<br>今朝、舞夏がおかずを作りすぎたって言ってたにゃー。,900030005,11,ef_com_00100_002_001_00,
8,上条 当麻,1000101,じゃあお言葉に甘えて世話になろうかな。<br>さすがメイドさんというか、舞夏の飯は美味いしな。,900010014,12,
9,土御門 元春,3000101,当然だ。<br>俺の舞夏は世界一のメイドさんだからにゃー！,900030002,17,ef_com_00100_002_007_00,




