#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,,,チャプター11：上条当麻の学校　土御門 元春　吹寄 制理　,,,,
#,,,補習の常連,
1,吹寄 制理,8000101,また補習？,900080029,10,
2,土御門 元春,3000101,そうにゃー。面倒だけど、出ないと進級できないって<br>言われると来ないわけにはいかないにゃー。,900030006,14,ef_com_00100_002_004_00,
3,吹寄 制理,8000101,普段から真面目に授業に出て<br>ちゃんと勉強すればいいでしょ。,900080018,11,
4,土御門 元春,3000101,そうだにゃー。吹寄が二人っきりで、<br>手取り足取り教えてくれるなら考えてもいいにゃー！,900030002,17,ef_com_00100_002_007_00,
5,吹寄 制理,8000101,甘えてんじゃないわよ！,900080024,13,ef_com_00100_002_005_00,
6,土御門 元春,3000101,ぐおっ！,900030027,15,
7,土御門 元春,3000101,と、突然蹴るなんて酷いにゃー。,0,14,ef_com_00100_002_003_00,
8,吹寄 制理,8000101,うるさい。<br>人にセクハラしてる暇があるなら黙って勉強しろ！,900080026,16,ef_com_00100_002_005_00,



