#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,,,チャプター12：上条当麻の学校　土御門 元春　吹寄 制理　,,,,
#,,,癖になる蹴り,
1,吹寄 制理,8000101,うおらっ！,900080011,13,
2,土御門 元春,3000101,ぎゃんっ！,900030030,15,
3,土御門 元春,3000101,いてて……まったく吹寄のせいで<br>俺がドＭになったらどうしてくれるにゃー！,0,14,ef_com_00100_002_004_00,
4,吹寄 制理,8000101,は、はぁ？<br>嫌なら変なことしなければいいでしょ。,900080030,10,
5,土御門 元春,3000101,いやいや。このままじゃ吹寄の蹴りを求めて、<br>わざと悪いことをしてしまいそうにゃー。,900030007,17,ef_com_00100_002_007_00,
6,吹寄 制理,8000101,……わかった。<br>そんなにどつかれたいって言うなら――。,900080003,11,ef_com_00100_002_005_00,
7,土御門 元春,3000101,ぐおっ！　何という躊躇ない蹴り……。,900030027,15,ef_com_00100_002_003_00,
8,吹寄 制理,8000101,……どう、これで満足？,900080004,10,
9,土御門 元春,3000101,なかなか効いたにゃー。<br>これでひんにゅーならもっと……。,900030011,17,ef_com_00100_002_007_00,
10,吹寄 制理,8000101,速やかに死ねっ！！,900080024,13,ef_com_00100_002_005_00,



