#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,,,チャプター13：上条当麻の学校　月詠 小萌　黄泉川 愛穂　,,,,
#,,,楽しい衣装選び,
1,月詠 小萌,6000101,うーん……これもいいのです。<br>これも捨てがたいのです。うーん……。,900060023,11,
2,黄泉川 愛穂,7000101,月詠センセ、何迷ってるじゃんよ？,900070028,10,ef_com_00100_002_002_00,
3,月詠 小萌,6000101,あ、黄泉川先生。<ruby=だいはせいさい>大覇星祭</ruby>などで使うチア衣装、全体的に<br>傷んできて……今後買い替えを検討中なのですー。,900060008,10,,
4,黄泉川 愛穂,7000101,なるほどじゃん。へー、色々あるじゃんよ。<br>あ、これなんかいいんじゃん？,900070003,12,
5,月詠 小萌,6000101,どれどれ……っとこれは、ちょっと余りに華やかさに<br>欠けるのですー。スカート付きジャージみたいですー。,900060012,11,
6,黄泉川 愛穂,7000101,機能性は優れてるじゃんよ。露出が少ないって事なら、<br>じゃあこっちはどうじゃん？,900070005,10,
7,月詠 小萌,6000101,ここここれは……？　高校生向けとは思えないデザイン！<br>露出が多すぎるのです！　無理なのですー！,900060017,15,ef_com_00100_002_003_00,
8,黄泉川 愛穂,7000101,でも機能性は優れてるじゃんよー。,900070008,10,
9,月詠 小萌,6000101,チア衣装には機能性も大事ですが、それ以上に<br>女学生の健康な魅力を見せる要素も大事なのですー。,900060006,10,
10,黄泉川 愛穂,7000101,……ふーむ。まったくピンと来ないじゃんよ。,900070004,11,ef_com_00100_002_006_00,
11,月詠 小萌,6000101,ま、まあ、黄泉川先生ならこの中のどれを着ても<br>セクシー爆発だろうし、想像しにくいかもですが……。,900060015,16,ef_com_00100_002_004_00,
