#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,スポット会話,,チャプター04：上条当麻の学校　上条 当麻　土御門 元春　,
#,,,意見の一致,
1,土御門 元春,3000101,カミやんこれを見てくれ。<br>なかなか素晴らしい本が手にはいったんだにゃー。,900030028,10,ef_com_00100_002_000_00,
2,上条 当麻,1000101,素晴らしい本って言ったって、どうせ土御門の<br>趣味全開のメイドかひんにゅーのやつだろ？,900010018,10,ef_com_00100_002_004_00,
3,土御門 元春,3000101,正解っ！,900030009,12,ef_com_00100_002_000_00,
4,上条 当麻,1000101,じゃ、俺はそろそろ帰るんで……。,900010015,11,
5,土御門 元春,3000101,待てカミやん。<br>帰るのは中を見てからでも遅くないにゃー。,900030029,14,ef_com_00100_002_003_00,
6,上条 当麻,1000101,そんなこと言われてもさぁ、<br>俺と土御門じゃ趣味が…………ん？,900010024,14,
7,土御門 元春,3000101,どうだ？　なかなかいいだろ？,900030002,12,ef_com_00100_002_001_00,
8,上条 当麻,1000101,おおっ、こ、これは……！！,900010011,15,
9,土御門 元春,3000101,ふっふっふ。,900030002,17,ef_com_00100_002_007_00,
10,上条 当麻,1000101,……オレが悪かった。<br>土御門の言う通り、これはなかなか良い本だ。,900010010,12,
11,土御門 元春,3000101,珍しく意見が合ったみたいだにゃー。<br>どうだ、続きも見ていくだろ？,900030006,17,ef_com_00100_002_007_00,
12,上条 当麻,1000101,ああ、もちろんだ……！　是非とも見せてくれ。,900010005,22,ef_com_00100_002_007_00,

