#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,スポット会話,,チャプター05：上条当麻の学校　上条 当麻　姫神 秋沙　,
#,,,お掃除の最中に,
1,上条 当麻,1000101,はーやれやれ、掃き掃除は終了っと。<br>あとは……ん？　姫神？,900010015,11,
2,姫神 秋沙,23000101,上条君。ちょうどいいところに来た。<br>あれ。見て。,900230028,10,
3,上条 当麻,1000101,ん？　……ああ、カーテンレール？<br>たしかに綿ぼこりが溜まってるな。,900010006,10,ef_com_00100_002_001_00,
4,姫神 秋沙,23000101,雑巾がけしたい。でも机に乗っただけじゃ。届かない。<br>あ。机に椅子を重ねて乗れば。届くかな。,900230006,10,
5,上条 当麻,1000101,いいけど……気を付けろよ。……あと、覗き込んだら<br>スカートの中が見えそうだがその辺はどうしたものか。,900010005,21,
6,姫神 秋沙,23000101,仮にそんなことをしたら。上条君は。どうなると思う？,900230021,13,ef_com_00100_002_005_00,
7,上条 当麻,1000101,多方面から攻撃されて、上条さんの学校生活が華麗に<br>終了しかねないな。わーった、上は見ないようにする。,900010022,14,ef_com_00100_002_003_00,
8,姫神 秋沙,23000101,わかった。じゃあ。動かないように押さえてて。<br>行ってくる。あれ。思ったより高い。よいしょ。,900230005,10,ef_com_00100_002_003_00,
9,上条 当麻,1000101,おーい、気を付けろよ～……って、おい！？,900010028,15,ef_com_00100_002_001_00,
10,姫神 秋沙,23000101,あ。しまった。きゃあっ。,900230030,15,,
11,上条 当麻,1000101,おーい、言ったそばから足滑らせて大丈夫か……ん？<br>なんだ、この柔らかい手触り……あ！　す、すまん！,900010018,17,
12,姫神 秋沙,23000101,……今のは。事故なので。……かろうじて許す。,900230026,17,ef_com_00100_002_006_00,
13,上条 当麻,1000101,いやホントすまん。……ちなみによく見てなかったが<br>今の感触の部分って、ドコ？　,900010029,22,
14,姫神 秋沙,23000101,……ノーコメント。というか。言わせる気？,900230025,17,ef_com_00100_002_005_00,
15,上条 当麻,1000101,……言わなくていいです。二の腕とかだよな、きっと。<br>そういうことにしときます、はい。,900010007,17,ef_com_00100_002_003_00,












































