#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,,,チャプター06：上条当麻の学校　土御門 元春　吹寄 制理　,,,,
#,,,いいもの,
1,土御門 元春,3000101,吹寄の蹴り……なかなか効いたにゃー……。,900030023,14,
2,吹寄 制理,8000101,しょうもないことをして、怒らせるからじゃない！,900080024,11,ef_com_00100_002_005_00,
3,土御門 元春,3000101,まぁでもそのかわり、俺はいいもの見れたけどにゃー。,900030008,12,ef_com_00100_002_000_00,
4,吹寄 制理,8000101,いいもの……って何よ？,900080003,10,
5,土御門 元春,3000101,吹寄、今日は白……と。,900030006,17,ef_com_00100_002_007_00,
6,吹寄 制理,8000101,なっ！？,900080017,17,ef_com_00100_002_003_00,
7,土御門 元春,3000101,んじゃ、どうもご馳走様でしたー！,900030002,10,ef_com_00100_002_007_00,
8,吹寄 制理,8000101,こ、こら！　待ちなさい！！,900080026,13,ef_com_00100_002_005_00,





