#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,スポット会話,,チャプター21：常盤台中学　婚后 光子　御坂 美琴　,
#,,,高度な遊戯,0,
1,御坂 美琴,4000102,あ、婚后さん！　ねえねえ、今週日曜、ひま？,900040028,12,
2,婚后 光子,9000101,あら、御坂さん。……日曜日ですか？<br>少々予定を確認いたしますけれど……何かございますの？,900090001,20,ef_com_00100_002_002_00,
3,御坂 美琴,4000102,駅前に新しいカラオケできたでしょ？<br>日曜日の昼間にみんなで行ってみようって話になってて。,900040006,10,ef_com_00100_002_001_00,
4,婚后 光子,9000101,カ、カラオケ……！？　あの、予定以前に、<br>わたくしなどが参加してもよろしいのかしら？,900090017,15,ef_com_00100_002_000_00,
5,御坂 美琴,4000102,いいに決まってるじゃない。人数多いほうが楽しいしさ。,900040006,12,ef_com_00100_002_007_00,
6,婚后 光子,9000101,あ、あのぉ。わたくし、その、カラオケと言う遊戯の<br>経験が……ございませんの。ですから、その……,900090024,17,ef_com_00100_002_004_00,
7,御坂 美琴,4000102,だいじょーぶ！　みんな最初は初めてだって！<br>あたしも他の子もせいぜい数回しかやったことないよ！,900040005,12,ef_com_00100_002_001_00,
8,婚后 光子,9000101,そ、そうですか……でも、緊張しますわ。あの、事前に<br>譜読みをしておきますので、課題曲を教えて下さいませ。,900090004,14,ef_com_00100_002_003_00,
9,御坂 美琴,4000102,……あ、うん。課題曲とかそういうのはないわよ。<br>その場で自分の好きな曲を選んで歌えばいいの。,900040006,10,
10,婚后 光子,9000101,な、なんと……即興ということですの？！<br>なんと高度な遊戯……！　わたくしに務まりますかしら。,900090030,15,ef_com_00100_002_001_00,
11,御坂 美琴,4000102,高度な遊戯って。ははは……。<br>ちなみに、婚后さんってどんな歌が好きなのかな？,900040002,12,ef_com_00100_002_004_00,
12,婚后 光子,9000101,やはり日本古来の雅楽曲が好きですわ、あとは長唄や<br>小唄も良いですし、声楽曲ならヘンデルが好みでしてよ。,900090005,10,ef_com_00100_002_007_00,
13,御坂 美琴,4000102,あは……そのあたりはカラオケには入っていないかなー。<br>……あ、で、でも、童謡とか民謡なら入ってるかも！,900040002,10,ef_com_00100_002_004_00,
14,婚后 光子,9000101,そ、そうですのね……やはり事前に譜読みが<br>必要ですわね。わたくし頑張ります！,900090016,14,ef_com_00100_002_004_00,
