#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,スポット会話,,チャプター21：常盤台中学　婚后 光子　御坂 美琴　,
#,,,高度な遊戯,0,
1,食蜂 操祈,10000101,さっきの時間、プールの方から爆音が聞こえたけど、<br>あれ、御坂さんでしょぉ？,900100001,10,ef_com_00100_002_001_00,
2,御坂 美琴,4000102,ああ、アンタの教室まで聞こえたわけ？<br>能力測定だったのよ、仕方ないでしょ。,900040005,10,ef_com_00100_002_004_00,
3,食蜂 操祈,10000101,すごいわぁ。そぉいう力任せで体力勝負で単純力な<br>能力なら、御坂さんにおまかせってトコねぇ。,900100004,11,ef_com_00100_002_000_00,
4,御坂 美琴,4000102,……なんか、そこはかとなくバカにされてる気が<br>するんだけど。単純で悪かったわね。,900040018,20,ef_com_00100_002_005_00,
5,食蜂 操祈,10000101,バカになんかしてないわぁ。私の力は繊細だからぁ、<br>御坂さん豪快で雑でうらやましいわぁってだけよぉ。,900100007,12,
6,御坂 美琴,4000102,雑で悪かったわね！　やっぱバカにしてんじゃない！<br>繊細って、アンタの力が？　下衆いだけでしょー！,900040024,13,ef_com_00100_002_005_00,
7,食蜂 操祈,10000101,下衆だなんて言いがかりだわぁ。『<ruby>心理掌握</ruby>』を<br>使いこなすには、繊細な深慮遠謀力がいるんダゾ☆,900100011,21,ef_com_00100_002_007_00,
8,御坂 美琴,4000102,その深慮遠謀が下衆いって言ってんのよ！<br>ったく、どこまでも腹が立つわね、アンタって人は。,900040015,21,ef_com_00100_002_005_00,






