#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,スポット会話,,チャプター21：常盤台中学　婚后 光子　御坂 美琴　,
#,,,高度な遊戯,0,
1,御坂 美琴,4000302,はあ、今日体育あったし、お腹すいたー。<br>お昼たべてこよっと。……ん？　食蜂？,900040015,10,
2,食蜂 操祈,10000301,はぁ～。もう、ダメェ……。<br>……何よぉ。御坂さん。,900100015,16,ef_com_00100_002_006_00,
3,御坂 美琴,4000302,アンタどーしたの。なんか、グッタリしてない？<br>あ、体育のせいとか？　そういや、珍しく見かけたわね。,900040019,15,
4,食蜂 操祈,10000301,これ以上見学すると成績つけられないとか言われてぇ。<br>あー、やっぱり出るんじゃなかったぁ……体が痛ぁい。,900100005,14,ef_com_00100_002_004_00,
5,御坂 美琴,4000302,たかがバスケでそこまでグッタリするかなー。<br>ほんと、運痴なのねー。,900040016,14,
6,食蜂 操祈,10000301,余計なお世話よぉ……！　なんとかボール回って<br>こないように逃げ回ってたら疲れちゃってぇ……。,900100025,13,ef_com_00100_002_005_00,
7,御坂 美琴,4000302,バスケってそういう競技じゃないっての。ていうか、<br>日ごろ理由つけてサボってるから体力つかないのよ。,900040008,20,
8,食蜂 操祈,10000301,お説教は結構だわぁ。はぁ……お昼休みに、みんなに<br>全力でマッサージして貰わなきゃだわぁ。,900100015,20,ef_com_00100_002_006_00,
9,御坂 美琴,4000302,昼休みは休ませてあげなさいっての……。<br>ほんと、アンタの派閥の子たちは大変ねー。,900040015,14,ef_com_00100_002_004_00,
10,食蜂 操祈,10000301,えー？　みんな全然大変なんて言わないわよぉ？<br>もっと他に何かありませんかってせっついてくるわぁ。,900100024,10,ef_com_00100_002_000_00,
11,御坂 美琴,4000302,アンタの派閥の子の感覚、ほんと理解しがたいわ……。<br>……ま、人の好みはそれぞれだけどさー。,900040015,14,ef_com_00100_002_004_00,



