#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,スポット会話,,チャプター01：常盤台中学　御坂 美琴　　,
#,,,アナタに作りたい味は,0,
1,御坂 美琴,4000102,今日の調理実習は……トルコ宮廷料理だっけ。<br>うーん、作れる気がしないなぁ。,900040015,14,ef_com_00100_002_006_00,
2,御坂 美琴,4000102,……たまには、シンプルにクッキー作る授業とか、<br>やってくれると嬉しいんだけどなー。,900040016,11,
3,御坂 美琴,4000102,前に佐天さんのお部屋で作らせてもらったクッキー……。<br>悪くはなかった気がするけど、もっとやれる気がしたし。,0,10,ef_com_00100_002_001_00,
4,御坂 美琴,4000102,トルコ宮廷料理作ってあげるわけにもいかないしなー。<br>もしうまく出来たらものすごく喜ぶかもだけど……。,0,14,
5,御坂 美琴,4000102,でもなー。やっぱり、シンプルなクッキーとかの方が、<br>こっちとしてもあげやすいし、喜んでもらえる……,0,22,
6,御坂 美琴,4000102,って、あたし！　な、なんであげる前提になってんの？<br>て、ていうか、あげるのがあの馬鹿とは限らないし！,900040017,17,ef_com_00100_002_003_00,
7,御坂 美琴,4000102,必ずもらえると思って調子乗ってんじゃないわよ！<br>うまく出来たってアンタにはあげないかもなんだから！,0,17,
8,御坂 美琴,4000102,……って、あたし、なに一人で怒ってんだろ。<br>アイツが聞いてるわけでもないのに……バッカみたい。,900040015,14,ef_com_00100_002_004_00,






