#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,スポット会話,,チャプター07：常盤台中学　御坂 美琴　白井 黒子　,
#,,,お姉様的文具,0,
1,白井 黒子,5000101,お姉様、これを見てくださいまし！,900050029,12,ef_com_00100_002_000_00,
2,御坂 美琴,4000102,何よいきなり……その猫のボールペンがどうかしたの？,900040015,10,
3,白井 黒子,5000101,昨日一目惚れして衝動買いしましたの！<br>このノック部分の猫、お姉様にソックリでしょう？,900050002,12,
4,御坂 美琴,4000102,え～、私が？　その妙にリアルな猫に？　<br>あんまし似てないと思うけど……。,900040017,15,ef_com_00100_002_002_00,
5,白井 黒子,5000101,いえ、この凛々しい眼差しが絶妙に似てますわ！<br>思わず授業中に頬ずりしてしまいそうですの！,900050008,12,
6,御坂 美琴,4000102,……先生達が不気味がるからやめなさいよ。,900040020,14,ef_com_00100_002_004_00,
7,白井 黒子,5000101,今、私の手の中にお姉様を握りしめているかと思うと！<br>ふふふふ、感無量ですわ。スリスリスリ……。,900050011,21,ef_com_00100_002_007_00,
8,御坂 美琴,4000102,ちょ、今頬ずりしてんのボールペンじゃなくて私！<br>離れなさいって、暑苦しい！,900040021,17,ef_com_00100_002_005_00,
9,白井 黒子,5000101,あら、似てるので間違えちゃいましたわ！　スリスリ。,900050030,11,ef_com_00100_002_000_00,





