#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,スポット会話,,チャプター09：常盤台中学　白井 黒子　婚后 光子　,
#,,,婚后さんのアドバイス,
1,白井 黒子,5000101,……ちょっと、婚后さん。聞きたいことがあるんですの。<br>顔を貸して欲しいんですの。,900050029,10,
2,婚后 光子,9000101,顔を貸せとは……チンピラまがいな呼び出しですわね。<br>ひとまず用件を聞かせて頂きたくてよ。,900090003,11,
3,白井 黒子,5000101,そんな身構えるような話じゃないので安心して<br>ほしいですの。単に、アドバイスが欲しいんですのよ。,900050015,11,
4,婚后 光子,9000101,アドバイス？　貴女もようやく、わたくし婚后光子の<br>家柄や実力を認め指南を受けるおつもりなんですわね？,900090004,10,ef_com_00100_002_001_00,
5,白井 黒子,5000101,はあ？　家柄だの実力だの、そんなくっだらないものに<br>興味なんかカケラもありませんの。,900050021,13,ef_com_00100_002_006_00,
6,婚后 光子,9000101,なんですって、失礼な！　ならばわたくしに何の用が<br>あると申しますの！,900090020,13,ef_com_00100_002_005_00,
7,白井 黒子,5000101,用があるのはその不謹慎に巨大な胸部の球体ですの。<br>その重そうなのを一体どんなブラジャーで支えてますの？,900050029,17,
8,婚后 光子,9000101,……はああ？　そんな事聞いてどうするんですの！<br>その平たい胸元には全く関係ない話じゃございませんの？,900090018,14,ef_com_00100_002_006_00,
9,白井 黒子,5000101,平たくて悪かったですの！　わたくしじゃなくて、<br>友人に胸が急成長気味の女子がいるんですの！,900050025,13,
10,婚后 光子,9000101,……その女性のためにブラジャー購入のアドバイスが<br>欲しいと言うことですの？,900090003,10,ef_com_00100_002_002_00,
11,白井 黒子,5000101,そうですの。なんせ急成長したので、情報が不足だと。<br>デザインも大き目向けは地味なものが多いとかなんとか。,900050006,10,ef_com_00100_002_003_00,
12,婚后 光子,9000101,……まあ、その傾向はありましてよ。それならそうと<br>先に仰いませ。色々ご教示致しますわ。,900090006,11,
13,白井 黒子,5000101,そうですの？　じゃ、来てくださいませ。<br>その子も助かるんですの。,900050004,10,
14,婚后 光子,9000101,ちなみに、その女性とはまさか御坂さんじゃ……<br>ございませんわよね？,900090028,20,ef_com_00100_002_002_00,
15,白井 黒子,5000101,ご安心を。お姉様の胸は相変わらずですの。<br>わたくし的にはもう少し成長して欲しいのですけどね。,900050015,14,ef_com_00100_002_004_00,
