#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,スポット会話,,チャプター11：常盤台中学　婚后 光子　御坂 美琴　,
#,,,ダンスをあなたと,
1,婚后 光子,9000101,あ、あの……御坂さん。<br>その、お願いがあるのですけれど。,900090028,14,ef_com_00100_002_003_00,
2,御坂 美琴,4000102,ん、どしたの、婚后さん？<br>あたしに出来ることならやるよ、言ってみてー。,900040001,10,ef_com_00100_002_002_00,
3,婚后 光子,9000101,かたじけないですわ。ご無理でしたら結構ですので。<br>その、今度の体育のソシアルダンスなのですが。,900090015,14,ef_com_00100_002_003_00,
4,御坂 美琴,4000102,あーうん、やるよね。あたし、得意じゃないんだけどさ。,900040006,22,
5,婚后 光子,9000101,その……もし、まだパートナーがいらっしゃらないなら、<br>わたくしとパートナーを組んでくださいません？,900090015,17,ef_com_00100_002_004_00,
6,御坂 美琴,4000102,え、いいよ。でも、<ruby=わんない>湾内</ruby>さんと<ruby=あわつき>泡浮</ruby>さんは？,900040006,12,
7,婚后 光子,9000101,お二方はペアを組まれると思いますので、わたくし<br>余ってしまいますのよ。ですから……,900090005,14,ef_com_00100_002_004_00,
8,御坂 美琴,4000102,あーそうか、そうだよね。<br>いいよ、あたしで良ければよろしく！　ヘタだけどね。,900040005,10,ef_com_00100_002_001_00,
9,婚后 光子,9000101,良かった！　とても光栄でしてよ。なんとなく、<br>御坂さんとわたくしステップの相性が良い気がしますの。,900090014,12,ef_com_00100_002_000_00,
10,御坂 美琴,4000102,あははは、だといいけどねー。<br>課題曲決まったら練習しようね！,900040002,12,
11,婚后 光子,9000101,はい……楽しみですわ！,900090011,10,ef_com_00100_002_007_00,




