#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,スポット会話,,チャプター13：常盤台中学　食蜂 操祈　御坂 美琴　,
#,,,女王様の魅力とは,
1,食蜂 操祈,10000101,あら、御坂さんじゃなぁい。今から帰るのぉ？,900100001,10,ef_com_00100_002_001_00,
2,御坂 美琴,4000102,そうだけど。アンタは帰らないの？,900040001,10,
3,食蜂 操祈,10000101,今から派閥の子たちと定例お茶会よぉ。,900100006,22,
4,御坂 美琴,4000102,女王様をもてなすのも大変ねぇ。<br>あんまり派閥の子をこき使うんじゃないわよ。,900040004,11,
5,食蜂 操祈,10000101,こき使ってなんかいないわよぉ。<br>皆私のことが大好きなだけなんダゾ☆,900100002,21,ef_com_00100_002_007_00,
6,御坂 美琴,4000102,あっそ。まー、蓼食う虫も好き好きとかいうしね。<br>アンタの何が魅力なのかサッパリわかんないけど。,900040003,14,ef_com_00100_002_004_00,
7,食蜂 操祈,10000101,私の<ruby>超能力者</ruby>としての実力、キラキラナイスバディな<br>容姿力、それに人柄力、どれをとっても魅力の塊よぉ？,900100006,23,
8,御坂 美琴,4000102,最後に挙げた人柄が他を全部台無しにしてるでしょーが。,900040015,20,ef_com_00100_002_004_00,
9,食蜂 操祈,10000101,えー、私的にはこの人柄力こそが魅力の要なんダゾ☆,900100006,21,ef_com_00100_002_007_00,
10,御坂 美琴,4000102,……まあ、アンタの人柄にもいいところが１％くらいは<br>なくもないのは認めなくもないけど……。,900040015,20,ef_com_00100_002_004_00,
11,食蜂 操祈,10000101,え？　今、御坂さん、私の人柄力を認めたの？<br>あらぁ、ついに私の魅力に陥落してくれたのねん☆,900100011,12,ef_com_00100_002_007_00,
12,御坂 美琴,4000102,――残りの９９％は思いっきり欠陥だらけだと思うって<br>言いたかったのよ、図に乗るな！　ったく。,900040016,21,ef_com_00100_002_006_00,



