#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,スポット会話,,チャプター02：常盤台中学　白井 黒子　　,
#,,,真のパートナー,
1,白井 黒子,5000101,あ……初春から呼び出しですの。<br><ruby>風紀委員</ruby>のお仕事ですのね。,900050003,10,
2,白井 黒子,5000101,はい、白井ですの。わかりました、すぐ行きますの。<br>やれやれ……毎日忙しいですの。,900050006,10,ef_com_00100_002_006_00,
3,白井 黒子,5000101,……でも、こうして少しでも仕事を頑張って。<br>自分の実力に磨きをかけないとですの。,0,22,
4,白井 黒子,5000101,わたくしは、まだ、<ruby>風紀委員</ruby>と言う肩書と組織のもとで<br>動いておりますけれど。,0,22,
5,白井 黒子,5000101,お姉様は、何にも所属せずに、わたくしなどには<br>到底たどり着けない場所で戦っているのですの。,900050015,14,ef_com_00100_002_004_00,
6,白井 黒子,5000101,いつかお姉様と肩を並べ、真のパートナーとなるために。<br>わたくしは、立ち止まるわけにいきませんの。,0,10,
7,白井 黒子,5000101,ただでさえ……最近お姉様の周りにチラホラ姿を見せる<br>あのツンツン頭の胡乱な輩が、目障りですのに。,900050018,13,ef_com_00100_002_005_00,
8,白井 黒子,5000101,あの男がいかにお姉様の心をかき乱そうとも！<br>わたくしは負けませんの！　男なんか何よですの！,0,20,
9,白井 黒子,5000101,わたくしこそが、お姉様と未来永劫共に在るのですの！,900050011,21,ef_com_00100_002_007_00,







