#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,スポット会話,,チャプター06：常盤台中学　婚后 光子　御坂 美琴　,
#,,,大事なあなた,0,
1,御坂 美琴,4000102,婚后さん、大分学校に慣れたみたいね。<br>最初の頃に比べて、生き生きしてる感じがする。,900040001,10,ef_com_00100_002_001_00,
2,婚后 光子,9000101,え……ええ。お恥ずかしいですわ。<br>あの頃は、自分の派閥を作るなどと突っ張ってしまって。,900090004,11,ef_com_00100_002_003_00,
3,御坂 美琴,4000102,ふふ、そういうのも、婚后さんらしくていいんじゃない？<br>今はもう作る気ないの？,900040002,12,
4,婚后 光子,9000101,やめてくださいな。わたくし、もうそんな気は毛頭<br>ございませんわ。もっと大事なものに気がつきましたの。,900090030,10,ef_com_00100_002_003_00,
5,御坂 美琴,4000102,ふーん？　大事な物って？,900040003,10,
6,婚后 光子,9000101,その……ご友人の方々ですわ。<br><ruby=わんない>湾内</ruby>さんや、<ruby=あわつき>泡浮</ruby>さん、そ、それに……,900090005,17,ef_com_00100_002_003_00,
7,御坂 美琴,4000102,うん、それに？,900040006,11,
8,婚后 光子,9000101,そ、その……わたくしがこの学園に転校してきたとき、<br>一番最初にとても親切にしてくださった方……ですの。,900090017,17,ef_com_00100_002_003_00,
9,御坂 美琴,4000102,ん？　それ誰？　黒子とかかな？<br>あの子<ruby>風紀委員</ruby>だし、ああ見えて面倒見いいし……。,900040003,22,
10,婚后 光子,9000101,いえ、白井さんではなくて。<br>あ、あのぉ……その……,900090007,17,ef_com_00100_002_003_00,
11,御坂 美琴,4000102,どしたの？　顔、真っ赤だよ？,900040019,15,ef_com_00100_002_002_00,
12,婚后 光子,9000101,え、えとその……い、言わせないでくださいまし！<br>つ、続きはまたそのうちに！　それでは！,900090030,17,ef_com_00100_002_003_00,
13,御坂 美琴,4000102,えー？　婚后さーん？<br>行っちゃった、変なの。誰の話してたんだろ……。,900040028,14,ef_com_00100_002_002_00,

