#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,スポット会話,,チャプター03：駅周辺　初春 飾利　　,
#,,,あのジャケットを君に,
1,初春 飾利,36000101,あ……あの、ショーウィンドウの中のジャケット。<br>カワイイです！,900360011,10,ef_com_00100_002_000_00,
2,初春 飾利,36000101,……でも、私にはサイズも大きそうだし、<br>たぶん似合わないですね、絶対。,0,14,ef_com_00100_002_006_00,
3,初春 飾利,36000101,……佐天さんなら、いい感じで着こなせそうです。<br>ていうか、佐天さんにむしろ似合いそう。,0,10,
4,初春 飾利,36000101,あした、連れてきてみましょうか。<br>値段は……そんなに高くないですね。喜びそう。,900360002,12,ef_com_00100_002_000_00,
5,初春 飾利,36000101,……佐天さんって、ほんと、色んな服がサラリと<br>似合うんですよね。うらやましいです。,0,11,
6,初春 飾利,36000101,でもうらやましいなんて言ったら、初春には初春の良さが<br>あるんだからそんなこと言わないの、とか言いそうです。,0,10,
7,初春 飾利,36000101,ふう。佐天さんの、そういうとこにも憧れます……。<br>あんなふうに、全方向的に素敵な人になりたいです！,900360005,20,ef_com_00100_002_007_00,




