#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,スポット会話,,チャプター13：駅周辺　上条 当麻　御坂 美琴　,
#,,,無愛想の理由,
1,御坂 美琴,4000102,あれ、久しぶりじゃない。,900040001,10,ef_com_00100_002_001_00,
2,上条 当麻,1000101,……あー。じゃ。,900010004,21,ef_com_00100_002_003_00,
3,御坂 美琴,4000102,ちょっと、ねえ！,900040028,20,
4,上条 当麻,1000101,……急いでんだよ。じゃ！,900010015,21,
5,御坂 美琴,4000102,なんなのよ、その愛想のかけらもない反応は！,900040021,21,
6,上条 当麻,1000101,く、こんなときに……！　不幸だ……！<br>とにかく、じゃ！,900010023,14,ef_com_00100_002_003_00,
7,御坂 美琴,4000102,……ちょっ、ざけんじゃないわよ！<br>舐めた態度とってると黒焦げにするわよ！,900040021,13,ef_com_00100_002_005_00,
8,上条 当麻,1000101,だからお前の相手してる余裕は……あ、ヤバイ限界っ！<br>そ、その先のコンビニにあれが……っ！,900010026,13,ef_com_00100_002_003_00,
9,御坂 美琴,4000102,な、なんなの？,900040024,15,ef_com_00100_002_002_00,
10,上条 当麻,1000101,だから閉店間際の半額惣菜を買って三日後食べた貧しい<br>上条さんのお腹がピンチなんですよじゃそゆことでっ！,900010022,20,ef_com_00100_002_006_00,
11,御坂 美琴,4000102,あ……トイレ、ね。や、やあねえもう……恥ずかしい。<br>それならそうと先に言いなさいよ、バカ。,900040017,17,
