#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,スポット会話,,チャプター08：駅周辺　一方通行　ラストオーダー　,
#,,,打ち止めのお気に入り,
1,打ち止め,22000101,ファミレスに行こうよ、ファミレスに行こうよって、<br>ミサカはミサカは強めに誘ってみる！,900220029,20,ef_com_00100_002_000_00,
2,一方通行,13001001,またファミレスかよ。なにがそンなに気に入ったンだァ？,900130029,20,ef_com_00100_002_002_00,
3,打ち止め,22000101,そ、それはその～って、<br>ミサカはミサカはくねくねと恥じらってみる……。,900220022,11,
4,一方通行,13001001,なンだそのイモ虫みてェな動きは。,900130018,22,
5,打ち止め,22000101,しっ、失礼な！　って、ミサカはミサカは憤慨したり！,900220021,13,ef_com_00100_002_005_00,
6,打ち止め,22000101,……ファミレスは初めて誰かとご飯を食べた、<br>特別な場所だから。,900220005,11,ef_com_00100_002_007_00,
7,一方通行,13001001,……そうかよ。,900130005,10,
8,打ち止め,22000101,え、えへへ～って、ミサカはミサカは<br>照れ笑いを浮かべてみたり！,900220002,12,ef_com_00100_002_000_00,






