#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,スポット会話,,チャプター01：駅周辺　初春 飾利　　,
#,,,寝不足の初春,
1,初春 飾利,36000101,あふ……ふ……ふわぁあああ。……はっ。,900360015,15,ef_com_00100_002_001_00,
2,初春 飾利,36000101,し、しまった……つい、凄い大あくびしちゃいました。<br>だ、誰にも見られてないですよね……。,900360027,14,ef_com_00100_002_003_00,
3,初春 飾利,36000101,昨日……<ruby>風紀委員</ruby>の持ち帰り仕事が終わらず、<br>夜更かししたらこの体たらくです。ふわぁ。,0,11,ef_com_00100_002_006_00,
4,初春 飾利,36000101,……でも、寝不足くらいでめげてたらダメですね。<br>気合、入れなおさなきゃです。,0,20,
5,初春 飾利,36000101,この街には、私なんかよりもっと頑張ってる人が<br>たくさん、たくさんいるんですから。,900360005,11,ef_com_00100_002_001_00,
6,初春 飾利,36000101,その人たちを助けるためにも、私にできることは<br>いくらでもあるはず……寝不足なんて些細なことです！,0,10,
7,初春 飾利,36000101,よし、佐天さんに教わった『眠気覚まし用酸っぱすぎる<br>レモンジュース』でも作って、眠気を吹き飛ばします！,0,20,ef_com_00100_002_007_00,








