#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,エモーション,
#,スポット会話,,チャプター03：駅周辺　佐天 涙子　　,
#,,,お嬢様と涙子,
1,佐天 涙子,37000101,ん？　前方から常盤台中学の制服の女子の集団が……。<br>うわぁ、こっちのほうに歩いてくる。ドキドキ……。,900370003,15,ef_com_00100_002_002_00,
2,佐天 涙子,37000101,ひゅー。……すれ違ったぁ。<br>やっぱお嬢様は違うなあー。憧れるぅ。,0,21,
3,佐天 涙子,37000101,一見普通の女の子みたいな感じだけど。でもやっぱし<br><ruby=はしばし>端々</ruby>に<ruby=そそ>楚々</ruby>としたナニかがあるね。目の保養だった～！,900370011,21,ef_com_00100_002_007_00,
4,佐天 涙子,37000101,……といっても、御坂さんと白井さんからは、もはや<br>あんまりお嬢様オーラを感じないんだけど。なぜか。,900370008,10,ef_com_00100_002_003_00,
5,佐天 涙子,37000101,……ま、こっちが見慣れたせいもあるか。<br>御坂さんとかも、急に浮世離れしたこと言うことあるし。,0,11,
6,佐天 涙子,37000101,白井さんについても……えーと。<br>……とりあえず語尾はお嬢っぽいしね！,,14,ef_com_00100_002_003_00,
7,佐天 涙子,37000101,……なんにせよ、あの二人とお友達になったおかげで、<br>常盤台中学の方々が身近な存在になったなぁー。,900370006,11,
8,佐天 涙子,37000101,お嬢様もあたしと変わらない普通の中学生なんだなって。<br>そう思わせてくれる気安さがあるよね、二人とも。,,10,
9,佐天 涙子,37000101,いや、御坂さんも白井さんも、全然普通じゃなくて<br>実際はめっちゃ凄い人なんだけど……。,900370008,14,ef_com_00100_002_001_00,
10,佐天 涙子,37000101,でも、こんな超凡人のあたしなんかとも普通に<br>仲良くしてくれるし……改めて、超いい人たちだー。,0,11,
11,佐天 涙子,37000101,……結局、そういう素敵なお人柄こそが真のお嬢様の<br>証なのかも？　そう考えると、深いなー、お嬢様道！,900370002,12,ef_com_00100_002_007_00,




