#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,,,チャプター12：駅周辺　ステイル＝マグヌス　インデックス　,,,,
#,,,ごはんは幸せ,
1,インデックス,2000101,うぅ……もう限界なんだよ。,900020012,14,ef_com_00100_002_006_00,
#,,,#SE（お腹の音）,
2,ステイル,24000101,君、大丈夫かい……？,900240019,14,ef_com_00100_002_002_00,
3,インデックス,2000101,だめかも……ごはんを食べていないから、<br>おなかがすいてもう立っていられないんだよ。,900020015,16,ef_com_00100_002_004_00,
4,ステイル,24000101,まったく……上条当麻は何をやっているんだ。<br>とりあえずだけどこれ、食べるかい？,900240018,13,ef_com_00100_002_006_00,
5,インデックス,2000101,もらってもいいの？　どうもありがとう！,900020030,10,ef_com_00100_002_000_00,
6,インデックス,2000101,はぐっ、むぐっ……美味し～い！,900020011,12,
7,ステイル,24000101,それはよかった。<br>それにしても君は、相変わらず幸せそうに食べるね。,900240002,11,
8,インデックス,2000101,ごはんを食べるのはとっても幸せなことだからね。<br>ところで相変わらずって――。,900020006,10,ef_com_00100_002_000_00,
9,ステイル,24000101,そうだ。まだあるんだけど、おかわりはいるかい？,900240007,12,
10,インデックス,2000101,！　わぁぁ！　もちろん頂くんだよ♪,900020011,12,ef_com_00100_002_007_00,
