#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,スポット会話,,チャプター03：駅周辺　五和　　,
#,,,天草式より五和へ,
1,五和,30000101,はぁ……どうにか上条さんとの<br>約束の時間に間に合いました。,900300015,11,
2,五和,30000101,そういえば、外出間際に天草式のみんなから<br>何か渡されましたけど、これは何なんでしょうか……？,0,14,ef_com_00100_002_002_00,
#,,,#SE（紙袋を漁る音）,
3,五和,30000101,ええと、布……いや、紐でしょうか？,900300018,15,
4,五和,30000101,って、ひゃぁぁぁ！<br>これ、下着じゃないですか！？,900300030,17,ef_com_00100_002_003_00,
5,五和,30000101,しかもなんだか面積がほぼ無いような……。<br>うぅ……流石にこれはちょっと。,0,17,ef_com_00100_002_004_00,
6,五和,30000101,それにしてもすごいデザインですね。<br>こんなの着る人が本当にいるんでしょうか？,900300015,11,ef_com_00100_002_002_00,






