#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,エモーション,
#,,,チャプター07：病院　御坂 美琴　白井 黒子　,,,,
#,,,お見舞いでバッタリ,
1,白井 黒子,5000102,……あら？　お姉様？　お姉様じゃございませんの？<br>なぜ病院にいらっしゃるんですの？,900050001,10,ef_com_00100_002_001_00,
2,御坂 美琴,4000102,わ、黒子。……黒子こそどうしたのよ。,900040030,15,ef_com_00100_002_003_00,
3,白井 黒子,5000102,ちょっと前にした治りかけの怪我の予後確認ですの。<br>お姉様は？　まさかお怪我や病気じゃありませんわよね？,900050006,14,
4,御坂 美琴,4000102,ち、違うわよ、あたしはピンピンしてるから。<br>えっと、そのなんというか。野暮用みたいな。,900040017,20,ef_com_00100_002_003_00,
5,白井 黒子,5000102,……病院に野暮用とは？　怪我か病気かお見舞い以外に<br>用などあまりない場所のように思うんですの。,900050003,10,
6,御坂 美琴,4000102,……あー。それ。お見舞い的なやつ。でも<br>大したお見舞いじゃないから。もう済んだし。うん。,900040006,12,ef_com_00100_002_001_00,
7,白井 黒子,5000102,……なんだか気になりますの。どなたのお見舞いですの？<br>学校には入院されている方はいなかったと思いますの。,900050004,13,ef_com_00100_002_006_00,
8,御坂 美琴,4000102,えーっと、その。<br>……ま、ほら、誰でもいいじゃない、ね。,900040030,15,ef_com_00100_002_004_00,
9,白井 黒子,5000102,お姉様にしては不自然な誤魔化し方、妙に紅潮したお顔。<br>もしや、ヤツですの？　ヤツですのね？,900050021,20,ef_com_00100_002_005_00,
10,御坂 美琴,4000102,や、ヤツって誰のこと言ってんのよ。,900040018,21,ef_com_00100_002_003_00,
11,白井 黒子,5000102,言わずとしれた、例のツンツン頭ですの！　やたらに<br>お姉様に近付く、新参者の癖に油断ならないあの男！,900050025,13,ef_com_00100_002_005_00,
12,御坂 美琴,4000102,えっと、その……。なんていうか、たまたま病院に来たら<br>たまたま入院してたのよ！　だからついでに寄っただけ！,900040017,17,ef_com_00100_002_004_00,
13,白井 黒子,5000102,苦しい言い訳ですの。病院はたまたま来るような場所では<br>ないんですの！　ああしかもお姉様の頬がさらに桜色に！,900050016,14,ef_com_00100_002_006_00,
14,御坂 美琴,4000102,え、そ、そお？　顔赤い？　き、気のせいよ気のせい！,900040030,17,ef_com_00100_002_003_00,
15,白井 黒子,5000102,いえ、誤魔化しきれないほどの赤面ですわ。あの類人猿！<br>またもお姉様の心をかき乱して……許すまじ！,900050008,13,ef_com_00100_002_005_00,
16,白井 黒子,5000102,……いっそこのまま、病院から出られなくさせて<br>やろうかですの～！,900050018,20,
17,御坂 美琴,4000102,物騒な事言うんじゃない！　かき乱されてなんかないし！<br>と、とにかく用はすんだし、もう行くわよ！,900040021,13,ef_com_00100_002_004_00,
