#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,スポット会話,,チャプター13：公園　姫神 秋沙　　,
#,,,姫神とブランコ,
1,姫神 秋沙,23000101,今日は微妙に暇で。公園まできてしまったけど。<br>特にやることがない。むー。,900230015,14,ef_com_00100_002_006_00,
2,姫神 秋沙,23000101,まあ。いいか。日向ぼっこも。<br>今日は晴れてるし。風も気持ちいい。,900230025,11,
#,,,#SE:子供のはしゃぎ声
#SE:ブランコを漕ぐ音,
3,姫神 秋沙,23000101,子供は。元気だなー。<br>ブランコを漕ぐだけで。あんなにはしゃいじゃって。,900230009,12,ef_com_00100_002_001_00,
4,姫神 秋沙,23000101,そういえば私。そもそもあんまり。<br>ブランコ漕いだことがない気が。,900230025,11,
5,姫神 秋沙,23000101,考えてみれば。過ごしてきた人生的に。<br>遊具の経験が少ないのは。当たり前かー。,900230026,14,ef_com_00100_002_006_00,
6,姫神 秋沙,23000101,……あの子供が降りたら。<br>漕いでみようかな。ブランコ。,900230002,17,ef_com_00100_002_000_00,
7,姫神 秋沙,23000101,……でも。あれって。そもそもどう漕いでも。<br>スカートが。風でめくれる構造のような気が。,900230025,14,
8,姫神 秋沙,23000101,そのあたりどう対処してるのかな。子供は。<br>……あ！　スカートを。腿で挟んでる！,900230011,15,ef_com_00100_002_001_00,
9,姫神 秋沙,23000101,子供すごい。勉強になった。私に。うまくできるかな。<br>不安になってきたけど。頑張ろう。,900230010,12,ef_com_00100_002_000_00,
