#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,スポット会話,,チャプター05：公園　神裂 火織　五和　,
#,,,濡れた女教皇様,
1,五和,30000101,え、<ruby>女教皇様</ruby>！？　あ、あの……お召し物が随分その……<br>濡れていらっしゃるのですが、どうなさいました？,900300030,15,ef_com_00100_002_003_00,
2,神裂 火織,25000101,ああ。この公園の噴水広場は、子供たちの水遊び場として<br>開放されているようなのです。,900250006,10,ef_com_00100_002_001_00,
3,神裂 火織,25000101,通りかかりましたら、水鉄砲合戦に巻き込まれまして。<br>おかげでこのように濡れてしまったわけです。,0,11,
4,五和,30000101,<ruby>女教皇様</ruby>に水鉄砲の水をかけるなんて、<br>なんて畏れ多い……。,900300016,14,ef_com_00100_002_006_00,
5,神裂 火織,25000101,いえ、なかなか愉快でしたよ。水遊びも良いものです。<br>子供の頃を思い出しました。,900250002,12,
6,五和,30000101,さすが、<ruby>女教皇様</ruby>は寛大でいらっしゃいます。ですが……<br>お召し物は、その、早くお着替えになった方が。,900300010,12,ef_com_00100_002_003_00,
7,神裂 火織,25000101,この程度でしたら、この気候なら、着替えなくても<br>着たままでいれば自然に乾くと思いますよ。,900250007,11,
8,五和,30000101,ですが、乾くまでがその……しとどに濡れて<br>いらっしゃるので、目のやり場に困ると申しますか……。,900300029,14,ef_com_00100_002_003_00,
9,神裂 火織,25000101,目のやり場に困る？　おかしなことをいいますね。<br>それはどういう意味ですか？,900250016,15,ef_com_00100_002_002_00,
10,五和,30000101,えっと、その……濡れると生地がお肌に密着するので<br>色々な要素がその……際立つと申しますか。,900300018,17,ef_com_00100_002_003_00,
11,神裂 火織,25000101,表現が抽象的で難解ですね……。<br>なんだかよくわかりませんが、着替えた方が良いですか？,900250023,14,ef_com_00100_002_002_00,
12,五和,30000101,は、はい！　ただいまお着替えをご用意しますので！<br>建宮さんたちが来る前に、ぜひお着替えください！,900300005,12,ef_com_00100_002_001_00,
