#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,スポット会話,,チャプター07：公園　姫神 秋沙　　,
#,,,カップル万歳,
1,姫神 秋沙,23000101,お向かいのベンチに座ってるカップル。<br>さっきから。気になって仕方ない。,900230015,14,ef_com_00100_002_006_00,
2,姫神 秋沙,23000101,中学生かな。すごく仲が良さそうだけど。<br>ふたりでクレープなんて食べちゃって。,0,11,
3,姫神 秋沙,23000101,あ。女子のほっぺに付いたクリームを。<br>男子が指で拭った。,900230017,15,ef_com_00100_002_001_00,
4,姫神 秋沙,23000101,あああ。そのクリームが付いた指を。そのまま自分の。<br>口元に持って行って。ぱくっとした。あああ。,0,17,
5,姫神 秋沙,23000101,女子。もーなにすんのよ的な仕草と表情をしてる。<br>いたずらっぽく笑う男子。吹き抜ける風。,0,10,
6,姫神 秋沙,23000101,………………実況していると。なんだか吹く風が。<br>なぜか身にこたえる。ああ。寒々しい。,900230023,11,ef_com_00100_002_006_00,
7,姫神 秋沙,23000101,彼と彼女に吹くあのさわやかな風と。<br>私に吹くこの寒々しい風は。,0,14,
8,姫神 秋沙,23000101,同じ風のはずなのに。なぜこうも。<br>体感温度が違うんだろう。解せない。,900230015,11,ef_com_00100_002_004_00,
9,姫神 秋沙,23000101,いつか誰かと。あんな風に過ごせる日が来るんだろうか。<br>……例えば。……その。あの。例の彼とかと。,0,10,
10,姫神 秋沙,23000101,彼はわりと。私のほっぺについたクリームぱくっとか。<br>たいした考えも無しに。結構やっちゃうかもしれない。,900230002,17,ef_com_00100_002_001_00,
11,姫神 秋沙,23000101,でも彼は。私にだけじゃなく。そこら中で助けて回ってる<br>多数の女子の誰にでも。そう言うことをしそう。,900230025,14,
12,姫神 秋沙,23000101,……深く考えたらドツボに。はまってきたからやめよう。<br>そこの中学生カップルは。お幸せに。,900230022,11,
