#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,スポット会話,,チャプター05：公園　上条 当麻　御坂妹　,
#,,,妹達の見分け方,
1,御坂妹,21000101,このミサカは他のミサカとどう違うと思いますか？<br>と、ミサカは率直な意見を求めます。,900210029,10,ef_com_00100_002_001_00,
2,上条 当麻,1000101,違いって言ってもなぁ……ちょっとした言動の違いとか<br>あとは微妙にだけど体型も違うか？,900010030,15,ef_com_00100_002_006_00,
3,御坂妹,21000101,た、体型にまで言及されるとは思っていませんでした。<br>そんないやらしい目で<ruby>妹達</ruby>を見ていたとは驚きです。,900210030,17,ef_com_00100_002_001_00,
4,御坂妹,21000101,と、ミサカは疑いの眼差しで、じろじろと見つめます。,900210026,13,
5,上条 当麻,1000101,いや、お前が違いを言えって言うからだな……<br>てかぶっちゃけそれくらいしか無いだろ。,900010015,21,ef_com_00100_002_003_00,
6,御坂妹,21000101,大丈夫です。<br>殿方とはそういうものだとあちらこちらで聞きますし。,900210002,11,
7,御坂妹,21000101,と、ミサカは受け入れますよと広い心でアピールします。,900210006,10,
8,上条 当麻,1000101,てか、何で俺がいやらしいってことになってんだよ。<br>……不幸だ。,900010023,14,ef_com_00100_002_006_00,










