#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,エモーション,
#,スポット会話,,チャプター04：地下街　麦野 沈利　　,
#,,,お弁当下さい,
1,麦野 沈利,11000101,……やーっと見つけたわ、例の弁当屋。,900110002,12,ef_com_00100_002_001_00,
2,麦野 沈利,11000101,先々週、請負先のオッサンが出してきた仕出し弁当……。<br>あのシャケ弁がどーしてもどーしても食べたくて。,0,11,
3,麦野 沈利,11000101,この地下街のアホみたいに入り組んだ路地を<br>どんだけ無駄にうろついたことか。,900110015,14,ef_com_00100_002_006_00,
4,麦野 沈利,11000101,まったく、ホームページの住所に行ったら移転してて、<br>地下街に引っ越したことしか分からないなんてね～。,0,16,
5,麦野 沈利,11000101,手がかりは箸袋の名前だけ……。<br>まー、請負先に聞けば話は早かったんだけど。,0,11,
6,麦野 沈利,11000101,泣く子も黙る『アイテム』の『<ruby>超能力者</ruby>』の私が、<br>仕事の請負先に……,0,11,
7,麦野 沈利,11000101,『さっきのシャケ弁、どこで売ってるんですか？<br>お店教えてください！』なんて、聞けないっつの。,900110018,16,ef_com_00100_002_003_00,
8,麦野 沈利,11000101,おかげでほんと、いらん苦労させられたわ。<br>浜面あたりに探すの押し付けりゃ良かった。,0,11,
9,麦野 沈利,11000101,まーいいわ、とにかく見つかったんだから。<br>あのシャケ弁がもう一度食べられるなんて最高！,900110002,12,ef_com_00100_002_000_00,
10,麦野 沈利,11000101,あー、楽しみ。そうだ、買ったらどこで食べようかなー？,0,12,
11,麦野 沈利,11000101,ま、フレンダ達呼び出して、その辺のファミレスでも<br>入って試食するか。すぐに食べたいしね。,900110006,10,



