#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,エモーション,
#,スポット会話,,チャプター06：地下街　絹旗 最愛　　,
#,,,そっくりさん発見,
1,絹旗 最愛,18000101,……うわ。今すれ違った人。<br>セリーナ・チェンに超似てます！,900180030,15,ef_com_00100_002_001_00,
2,絹旗 最愛,18000101,『マッドマーメイド～深海からの逆襲』の第一作で<br>ヒロインの人魚を怪演しそこで超消えた一発屋女優！,0,10,
3,絹旗 最愛,18000101,私的には、超期待の新人だったのですが……。<br>あれ一作で消えるとは、超納得いきません。,900180026,14,
4,絹旗 最愛,18000101,キレイに見える表情キープで超巨乳揺らして、<br>ＣＧ多用バトルする女優が超多い中、彼女は別格です。,900180010,17,ef_com_00100_002_007_00,
5,絹旗 最愛,18000101,バトルが盛り上がってくるときの超鬼気迫る表情！<br>悪夢に出そうな極悪な顔の人魚、超忘れられません。,0,17,
6,絹旗 最愛,18000101,やはり、麦野などを見てると、戦いの最中は超歪んだ顔に<br>なって当然ですよね。超リアルでした。,0,11,
7,絹旗 最愛,18000101,……今すれ違った超そっくりさん、まさか本人じゃ？<br>今からでも追いかけて確認しようかな……。,900180005,15,
8,絹旗 最愛,18000101,……いや、まさかセリーナがこんな日本の学園都市に<br>いる訳が超ないですよね。やっぱりやめときます。,900180015,14,ef_com_00100_002_006_00,
9,絹旗 最愛,18000101,……今日帰ったら、久々にあの映画を超見返します！<br>どうせなら麦野も誘って、一緒に見ましょうか。,900180002,12,ef_com_00100_002_001_00,
10,絹旗 最愛,18000101,麦野なら、セリーナの良さを超わかってくれるかもです。<br>……一緒にするなとキレそうな気もしますが。,900180006,10,




