#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,エモーション,
#,スポット会話,,チャプター07：地下街　絹旗 最愛　　,
#,,,下着専門店,
1,絹旗 最愛,18000101,ん？　……こんなところに超新しい下着専門店が。<br>いつの間にできたんですかね。,900180030,15,ef_com_00100_002_001_00,
2,絹旗 最愛,18000101,ふーん……可愛い系からセクシー系まで、豊富な<br>品ぞろえで超安いですね。,900180003,10,
3,絹旗 最愛,18000101,ま、今のところ下着の在庫には超困ってないし。現在の<br>手持ち在庫が使用できなくなるような変化もないし。,0,14,
4,絹旗 最愛,18000101,……残念ながら私、この店に用はないですね。<br>超残念ながら。,900180015,14,ef_com_00100_002_006_00,
5,絹旗 最愛,18000101,……そういえば、フレンダの身体の一部が最近超成長を<br>していましたね。,0,16,
6,絹旗 最愛,18000101,じゃ、フレンダにはこの店に用があるってことですね。<br>教えたら超買うでしょうね。フーン。,900180025,14,ef_com_00100_002_004_00,
7,絹旗 最愛,18000101,ま、下着を買い替えるのも時間も手間もかかりますし。<br>ひきかえ私は、現在の在庫が使えて超ラッキーです。,0,10,
8,絹旗 最愛,18000101,別に身体の一部分にさしたる成長がなくても、<br>年齢を考慮すれば私のボディラインは超完璧ですし。,0,10,ef_com_00100_002_001_00,
9,絹旗 最愛,18000101,そう考えると、この店に用がなくて良かったです。<br>超負け惜しみじゃなく、心からそう思います。,900180005,11,





