#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,エモーション,
#,スポット会話,,チャプター08：地下街　絹旗 最愛　　,
#,,,謎のゲーム,
1,絹旗 最愛,18000101,んー？　あそこのゲーセンのあれ……超気になります。,900180030,15,ef_com_00100_002_001_00,
2,絹旗 最愛,18000101,あれは『内部系』の店ですよね、確か。<br>超なんなんですか、あのクレーンゲームは。,900180003,10,
3,絹旗 最愛,18000101,遠目には分かりにくいけど……店にいるお客と<br>比較すると、景品のサイズが超でっかくないですか？,0,15,ef_com_00100_002_001_00,
4,絹旗 最愛,18000101,例えばあの超変顔のウサギの景品、傍にいる<br>男の子と変わらないサイズに超見えるのですが。,0,15,
5,絹旗 最愛,18000101,超いいです。縮尺間違えちゃったミニチュア使った<br>古い特撮映画みたいで、超味わい深いです。,900180010,17,ef_com_00100_002_007_00,
6,絹旗 最愛,18000101,あのサイズをどんなクレーンで吊り上げるのかも<br>超気になります。これは、挑戦するしかないですね。,900180025,11,
7,絹旗 最愛,18000101,……景品を超勝ち取ったとして、その始末をどうするか<br>超見当もつきませんが。,0,11,
8,絹旗 最愛,18000101,案外、滝壺さんあたりが超気に入って、抱き枕がわりに<br>するかもしれないし。景品取ってから考えます。,900180011,12,ef_com_00100_002_000_00,






