#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,エモーション,
#,スポット会話,,チャプター11：地下街　滝壺 理后　　,
#,,,迷子発見,
1,滝壺 理后,20000101,……なんかよくわからない路地に出ちゃった。<br>待ち合わせのファミレスって、どこだっけ。,900200020,14,ef_com_00100_002_006_00,
2,滝壺 理后,20000101,まあ……適当に歩いてればそのうち見つかるか。<br>別に今日は急ぎの仕事もないし。,0,11,
3,滝壺 理后,20000101,……なんかいる。なんだろ。<br>……あ、子犬。,900200011,15,ef_com_00100_002_001_00,
4,滝壺 理后,20000101,地下街で単体の子犬なんて、めずらしいな。<br>……おーいで、おいで。,0,12,
5,滝壺 理后,20000101,そんなプルプルしなくても大丈夫だよ。<br>はい、抱っこ。,900200002,12,ef_com_00100_002_000_00,
6,滝壺 理后,20000101,抱っこしてもプルプルしてる。<br>高そうな犬種だし、迷子かな。首輪……住所書いてない。,0,14,
7,滝壺 理后,20000101,ねー君、はぐれちゃったの？<br>君の飼い主が能力者なら、私の能力で探せるかもね。,900200028,10,
8,滝壺 理后,20000101,……でも、君の飼い主の能力がわかんないと無理だけど。<br>ねえ、飼い主の能力教えてワン。,900200026,10,ef_com_00100_002_004_00,
9,滝壺 理后,20000101,答えは無しか。残念。さて、どうしようか……。,0,11,
10,滝壺 理后,20000101,……そのへんの<ruby>警備員</ruby>探して、届けるしかないよね。<br>私が飼うわけにはいかないんだよー、ごめんね。,900200013,14,ef_com_00100_002_006_00,
11,滝壺 理后,20000101,そんな心細そうにしがみつかなくても平気。<br>私は、そんな君を応援してるよ。,0,10,
12,滝壺 理后,20000101,じゃ、私と一緒に<ruby>警備員</ruby>探しに行こう。<br><ruby>警備員</ruby>が見つかるまでの間だけ、抱っこしててあげる。,900200002,12,ef_com_00100_002_001_00,


