#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,エモーション,
#,スポット会話,,チャプター15：地下街　フレンダ＝セイヴェルン　　,
#,,,人形の材料,
1,フレンダ,19000101,さ～てと、次の買い出しはなんだっけ。あ、そうだ。<br>爆弾ドール作成用の布の端切れがもうないかも。,900190006,10,ef_com_00100_002_001_00,
2,フレンダ,19000101,結局、爆弾ドールは文字通り消耗品だし。制作経費も<br>馬鹿にならないって訳よ。最近消耗激しいし。,900190015,14,ef_com_00100_002_006_00,
3,フレンダ,19000101,じゃ、こっち曲がって、いつもの激安のハンドクラフトの<br>専門店に行こうかな……ん？　あれれ～？,0,15,
4,フレンダ,19000101,『当店は閉店いたしました。<br>長年のご愛顧ありがとうございました。』,0,10,
5,フレンダ,19000101,ノォオオオッ！　へ、閉店～っ！　ものすごく<br>ご愛顧していたのにぃ！　あ、あんまりって訳よ～！,900190030,15,ef_com_00100_002_006_00,
6,フレンダ,19000101,うううう。布の仕入れ先をネットとかに変えるしかない？<br>でも結局、この店ほど安くは手に入らないか……。,900190027,11,ef_com_00100_002_004_00,
7,フレンダ,19000101,あああ、経費がかさむ一方だっつーの！<br>……いっそ、爆弾のカモフラージュ、ドール型を辞める？,0,13,
8,フレンダ,19000101,うう、でもにゃー、結局ドール型にはこだわりたい訳よ。<br>……適度に相手を油断させられるし、カワイイし。,900190015,14,
9,フレンダ,19000101,ホント、仕事で爆弾を使う人の身にもなって欲しい！<br>結局、爆弾ってのは毎回必ず補充しなきゃならない訳よ！,900190024,16,ef_com_00100_002_005_00,
10,フレンダ,19000101,返す返すも、こんな安い店が潰れるなんて、ほんとに<br>納得いかないって訳よ……理不尽だっつーの。,900190015,14,ef_com_00100_002_006_00,




