#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,エモーション,
#,スポット会話,,チャプター19：地下街　フレンダ＝セイヴェルン　絹旗 最愛　,
#,,,ジム談義,,,,
1,フレンダ,19000101,そういえば絹旗、最近ジム変えたんだって？<br>地下街のどの辺って聞いた訳よ？　どう、そこのジム？,900190028,10,ef_com_00100_002_001_00,
2,絹旗 最愛,18000101,まあそうですけど。別に、超普通ですよ。<br>プライベートスペースの器具は超まあまあ充実してます。,900180006,10,
3,フレンダ,19000101,フーン。私もそこにしてみようかなあ。<br>今のジム、高すぎるんだっつの。,900190003,11,
4,絹旗 最愛,18000101,麦野と同じとこでしょ？　高級ホテルの秘密会員制の。<br>麦野のせれぶりちー趣味なら、値段は超高いでしょうね。,900180028,10,
5,フレンダ,19000101,ホントに高いっつーの。しかも麦野と行くと、<br>すぐ併設のエステとかに付き合わされるし。,900190015,14,ef_com_00100_002_006_00,
6,絹旗 最愛,18000101,あー、それは金がいくらあっても超足りませんね。,900180004,14,ef_com_00100_002_004_00,
7,フレンダ,19000101,まったく、ジムで身体能力を維持するのは必要経費だから<br>しゃーないけど、エステにかける予算はないって訳よ！,900190024,16,ef_com_00100_002_005_00,
8,絹旗 最愛,18000101,なら麦野に超そう言えばいいじゃないですか。,900180007,15,
9,フレンダ,19000101,言ってるけど、『一人じゃつまんないの～』とか言って、<br>結局なんだかんだで付き合わされる訳よ……。,900190027,14,ef_com_00100_002_004_00,
10,絹旗 最愛,18000101,エステなんて一人で行けばいいでしょうに、妙なとこで<br>超女子ですね、麦野。,900180003,10,
11,フレンダ,19000101,パックとかの待ち時間にダベる相手が欲しいんだって。<br>別にいいけど、毎回は勘弁。,900190025,13,ef_com_00100_002_005_00,
12,絹旗 最愛,18000101,でもそれ、ジム変えても超誘われるんじゃないですか？<br>いいじゃないですか、稼いでない訳じゃないんだし。,900180028,11,ef_com_00100_002_002_00,
13,フレンダ,19000101,うう……結局、経費ばっかり出ていく訳よ。,900190027,14,ef_com_00100_002_006_00,


