#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,エモーション,
#,スポット会話,,チャプター22：地下街　麦野 沈利　滝壺 理后　,
#,,,麦野の靴,
1,麦野 沈利,11000101,ちょっと、滝壺、待って！　あそこ、見なさいよ！,900110028,10,ef_com_00100_002_001_00,
2,滝壺 理后,20000101,ん～？　なぁに？,900200004,15,ef_com_00100_002_002_00,
3,麦野 沈利,11000101,このセレクトショップ！　エルアサインのセール中よ！<br>あのムートンブーツ素敵！　ちょっと、早く入るよ！,900110010,17,ef_com_00100_002_000_00,
4,滝壺 理后,20000101,え～、また靴買うの……？　むぎの、何足買っても<br>どーせヒール折って壊しちゃうんだし。,900200025,14,ef_com_00100_002_006_00,
5,麦野 沈利,11000101,だから、エルアサインのヒールは蝶番がついてて<br>ヒールが折りたためるんだって！,900110025,16,
6,滝壺 理后,20000101,そんなこと言って、この前そのなんとかのヒール、<br>蝶番ごとぶっちぎってなかった？,900200015,13,ef_com_00100_002_002_00,
7,麦野 沈利,11000101,あの時はたまたま！　それにそういう時に備えて、<br>掘り出し物はなるべくキープしておくんでしょうが。,900110030,15,ef_com_00100_002_003_00,
8,滝壺 理后,20000101,私は外で待ってるよ……。むぎのだけ買い物してきたら？,900200015,11,
9,麦野 沈利,11000101,……あんたもたまにはカワイイ靴買いなさいよ。<br>いっつも同じ靴履いて、そのうちソールが剥げるよ？,900110015,14,
10,滝壺 理后,20000101,靴なんて履ければいいと思うんだけど。<br>それに、この服でこの店の靴履くの？　なんか変。,900200007,10,ef_com_00100_002_002_00,
11,麦野 沈利,11000101,…………まあ、確かに。エルアサインにジャージと<br>合わせられるデザインはないわね。,900110006,16,ef_com_00100_002_006_00,
12,滝壺 理后,20000101,でしょ。だから、外で待ってる。,900200006,11,
13,麦野 沈利,11000101,あんたもジャージ以外の服もいつか着なさいよ……。<br>まあ、好き好きだから止めやしないけど。,900110015,14,ef_com_00100_002_004_00,

