#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,エモーション,
#,スポット会話,,チャプター01：地下街　麦野 沈利　　,
#,,,フレンダの報告,
1,麦野 沈利,11000101,ん、フレンダからメッセージ来てる。<br>なにかな？,900110003,10,ef_com_00100_002_001_00,
2,麦野 沈利,11000101,『<ruby=ターゲット>標的</ruby>発見！　今から軽ーく片づけてくるって訳よ！』<br>お、早いわね。今回は任せられるかな。,0,10,,
3,麦野 沈利,11000101,……でもな、フレンダの奴、急に信じられねーポカを<br>やらかすから、油断できないのよねえ。,900110015,16,ef_com_00100_002_006_00,
4,麦野 沈利,11000101,念のため釘刺しとこ。<br>『了解。くれぐれも油断しないでよ』,0,20,
5,麦野 沈利,11000101,……送信っと。やれやれ。,0,11,,
6,麦野 沈利,11000101,……あのお調子者で油断しがちな性格さえなけりゃ、<br>頭の回転も速いし仕事も出来るんだけどな。,900110016,14,ef_com_00100_002_004_00,
7,麦野 沈利,11000101,……それに、まあ、なんだかんだ言って、フレンダは<br>私のことをよくわかってるし。,0,11,
8,麦野 沈利,11000101,……私と組むのもそれなりに大変だろうにねえ。<br>めげずにやってるトコは、まあ、評価してやるか。,0,10,
9,麦野 沈利,11000101,……ん？　またメッセージが来た。<br>『ごめ～ん！　<ruby=ターゲット>標的</ruby>に気づかれたにゃー。鋭意追跡中！』,900110025,10,ef_com_00100_002_001_00,
10,麦野 沈利,11000101,前言撤回！！　……あんっの、マヌケ女ぁ！,900110021,13,ef_com_00100_002_005_00,
11,麦野 沈利,11000101,『テメェ、油断するなって言ったろうがぁ！<br>さっさと捕まえないとどうなるか分かってるな？』,0,13,
12,麦野 沈利,11000101,……送信っと！　<br>たく、言ったそばから調子乗りやがって！！,900110026,16,ef_com_00100_002_006_00,











































