#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,エモーション,
#,スポット会話,,チャプター02：地下街　麦野 沈利　　,
#,,,大きいと、大変,
1,麦野 沈利,11000101,ん～……やっぱなー、着け心地が良くないわ、このブラ。<br>デザインに負けて買っちゃったけど、失敗だったか。,900110015,14,ef_com_00100_002_006_00,
2,麦野 沈利,11000101,ル・エロールの下着は大きめカップでも、セクシーで<br>華奢なデザイン多くて、つい買っちゃうんだけど……。,0,11,
3,麦野 沈利,11000101,試着した時はこんなもんかなって思っても、長く着けると<br>ダメなパターン多すぎだわ。ホント気をつけよ。,900110016,14,ef_com_00100_002_004_00,
4,麦野 沈利,11000101,あー、なんか、カップに収まりきらない感が半端ない。<br>このまんま仕事に行くの、やめた方がいいかなー。,0,14,
5,麦野 沈利,11000101,この前も『<ruby>原子崩し</ruby>』ブチかました瞬間に、思いっきり<br>ホックが外れやがったのよねえ……。,900110027,17,ef_com_00100_002_003_00,
6,麦野 沈利,11000101,そん時は夢中で気がつかなかったけど。<br>……仕事が終わった後の解放感が二割増しだったわね。,0,10,
7,麦野 沈利,11000101,仕事からだけじゃなくて、ブラからも解放されてるとか<br>洒落にならないわ。あーみっともなかった。,900110015,16,ef_com_00100_002_006_00,
8,麦野 沈利,11000101,……やっぱり別のブラに変えていこう。<br>はー、なかなか苦労するわ、この大きさだと。ったく。,900110005,11,















































