#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,エモーション,
#,スポット会話,,チャプター03：地下街　絹旗 最愛　　,
#,,,絹旗は仕事中,
1,絹旗 最愛,18000101,――フン。<ruby=ターゲット>標的</ruby>が地下街に逃げ込んでから２時間。<br>ちょうど人が超多い時間帯ですし、若干面倒ですね。,900180016,14,ef_com_00100_002_006_00,
2,絹旗 最愛,18000101,でもね、『アイテム』には、取って置きの能力者がいる。<br><ruby=ターゲット>標的</ruby>の大体の位置なんざ、超簡単に分かるんです。,0,10,,
3,絹旗 最愛,18000101,で、この辺りなら人気も少ないし、空きテナントも多い。<br>隠れているのに超都合がいいですよね？,900180002,11,
4,絹旗 最愛,18000101,そのあたりどうですか？<br>――そこにいるのは超わかってるんですよ！？,0,10,,
5,絹旗 最愛,18000101,――おっと。,0,15,ef_com_00100_002_001_00,
6,絹旗 最愛,18000101,おやおや、こんな地下街で狙撃ですか？<br>超やってくれますね。,900180025,16,
7,絹旗 最愛,18000101,消音器つきの銃とはいえ、この平和な昼日中の地下街で<br>超迷惑千万。通行人に当たったら超どうするんです。,900180024,11,
8,絹旗 最愛,18000101,残念ながら、私の『<ruby>窒素装甲</ruby>』は、拳銃ごときは超通用しませんので。,900180002,12,,
9,絹旗 最愛,18000101,おかげさまでそちらの位置も超完全特定できました。<br>そこの空きテナントの窓から狙撃したわけですね、成程。,0,11,
10,絹旗 最愛,18000101,それでは、こちらも仕事させてもらいますので。<br>――どうぞ、超覚悟してください。,900180011,12,ef_com_00100_002_000_00,













































