#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,スポット会話,
#,
1,麦野 沈利,11000101,っあー……畜生、不完全燃焼な仕事だった。<br>クソ面白くもねぇ！　私を舐めやがって……。,900110015,15,
2,麦野 沈利,11000101,重要な要人に纏わる案件とか何とか言っといて、<br>要は薄汚えデブの護衛と、三下の駆除だけかよ！,0,13,ef_com_00100_002_005_00,
3,麦野 沈利,11000101,あー、全部下部組織にやらせりゃ良かった。<br>この学園都市第四位の私を駆り出す案件か！,900110024,13,ef_com_00100_002_005_00,
4,麦野 沈利,11000101,最近、ロクな仕事が来やしない……。<br>……もっと、私を満足させる相手を寄こしなさいよ。,900110021,16,ef_com_00100_002_003_00,
5,麦野 沈利,11000101,……ダメだわ、身体の熱がおさまらない。私をこんなに<br>欲求不満にさせて……どうしてくれるのよ、まったく。,0,14,
6,麦野 沈利,11000101,……そういう意味では、この前やりあったあの女は<br>そこそこ楽しめたわね。私と同じ<ruby>超能力者</ruby>のアイツは。,0,12,
7,麦野 沈利,11000101,……ま、この『<ruby>原子崩し</ruby>』でギタギタにして、私の方が<br>上だと証明してやれなかったのはマジムカつくけど。,0,10,
8,麦野 沈利,11000101,でも、あれぐらい骨のある相手を寄こしてくれなきゃ。<br>私の中のこの熱は……到底、鎮まらない。,0,11,
9,麦野 沈利,11000101,ハァ……どいつもこいつも……私をもっと、楽しませな。<br>恐怖に歪んだ最高の表情のまま、昇天させてやるから。,900110002,12,ef_com_00100_002_000_00,





