#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,スポット会話,
#,
1,御坂妹,21000101,昨夜は二人きりでお楽しみでしたね。と、ミサカは<br>ネットワークを介し知り得た情報を元に指摘します。,900210001,10,
2,一方通行,13001001,覗き見かよ……まァ、あンなンでも<br>案外夢中になれるもンなんだな。,900130018,20,,
3,御坂妹,21000101,なんと、まさかの肯定ですか。と、ミサカは<br>目の前の人物の意外性に対し動揺を見せます。,900210030,15,,
4,一方通行,13001001,はァ？　何言ってンだ。<br>カードゲームくらい、別に恥ずかしいこったねェだろ。,900130024,22,
5,御坂妹,21000101,え。,900210018,10,
6,一方通行,13001001,？　何だァその顔。,900130006,23,ef_com_00100_002_002_00,
7,御坂妹,21000101,お楽しみとは、昨夜の入浴の話ではなかったのですか……<br>と、ミサカは困惑顔で質問します。,900210008,10,
8,一方通行,13001001,クソガキとの風呂が楽しいわけねェだろが！<br>あのヤロォ、毎回人で遊びやがって！！,900130028,16,ef_com_00100_002_005_00,
9,御坂妹,21000101,そうですか……<br>と、ミサカは露骨に落胆した様子でため息をつきます。,900210015,11,ef_com_00100_002_004_00,
10,一方通行,13001001,あァ！？　何言ってンのか意味不明だが、<br>勝手に勘違いして勝手にガッカリしてンじゃねェ！,900130030,13,ef_com_00100_002_005_00,




