#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,スポット会話,
#,
1,初春 飾利,36000101,そういえば、最近駅前に<br>面白そうなスイーツのお店が出来たらしいですね。,900360028,10,
2,佐天 涙子,37000101,面白そうな店？,900370003,10,ef_com_00100_002_002_00,
3,初春 飾利,36000101,はい。聞いた話によると、そのお店では<br>回転寿司のようにスイーツが回っていて,900360006,12,
4,初春 飾利,36000101,時間内であれば好きなものを<br>いくらでも取って食べられるとか！,0,12,,
5,佐天 涙子,37000101,へぇー、そんな店が出来たんだ。<br>つまり回転スイーツの食べ放題ってことだよね？,900370005,12,ef_com_00100_002_007_00,
6,佐天 涙子,37000101,なんか楽しそうかも！,0,10,ef_com_00100_002_000_00,
7,初春 飾利,36000101,ですよね！　というわけで今度、御坂さんや<br>白井さんも誘ってみんなで一緒に行ってみませんか？,900360002,10,ef_com_00100_002_000_00,
8,佐天 涙子,37000101,いいね、私は賛成！,900370002,12,ef_com_00100_002_000_00,
9,初春 飾利,36000101,では、お二人には後ほど<br>私の方からお話しておきますね！,900360006,12,ef_com_00100_002_000_00,



