#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,スポット会話,,チャプター31：飛行機　ルチア　アンジェレネ　,
#,,,お小言,
1,アンジェレネ,33000101,明日はみんなでお出かけですね！　シスター・ルチア！,900330002,12,ef_com_00100_002_000_00,
2,ルチア,32000101,わかりましたから静かにしなさい。,900320015,11,
3,ルチア,32000101,とにかくあなたは落ち着きがなさすぎるんです、<br>シスター・アンジェレネ。,900320023,13,
4,アンジェレネ,33000101,も、申し訳ありません<br>みんなでお買い物に行くのが楽しみでつい……。,900330013,14,ef_com_00100_002_003_00,
5,ルチア,32000101,まったく。いつになったらこうして私は<br>小言を言わなくて済むように――,900320018,10,
6,アンジェレネ,33000101,あっ、お買い物リストをどこかにやってしまいました！<br>せっかく色々買う物を纏めておきましたのに……！,900330017,15,ef_com_00100_002_001_00,
#,,,#SE（バタバタとした足音）,
7,ルチア,32000101,シスター・アンジェレネ。,900320021,13,
8,アンジェレネ,33000101,は、はいっ！,900330006,15,ef_com_00100_002_001_00,
9,ルチア,32000101,まったく、１分とたたないうちに……<br>貴女は私にどれだけ注意させれば気が済むのですか。,900320018,13,ef_com_00100_002_005_00,
10,アンジェレネ,33000101,ご、ごめんなさぁい……。,900330012,14,ef_com_00100_002_004_00,
