#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,スポット会話,
#,
1,ルチア,32000101,ですからシスター・アンジェレネ、<br>あなたはいつもいつも……！,900320018,15,ef_com_00100_002_005_00,
2,アンジェレネ,33000101,そうは仰いますが、私にだって言い分はあります！,900330025,13,ef_com_00100_002_005_00,
3,ルチア,32000101,言い分……？　わかりました。<br>聞きましょう、その言い分とやら。,900320015,13,
4,アンジェレネ,33000101,えっ？,900330015,15,
5,ルチア,32000101,どうしました？　何か立派な反論があるのでしょう？,900320003,10,ef_com_00100_002_002_00,
6,アンジェレネ,33000101,えー、えーとぉ……申し訳ありません、<br>やっぱりありません……。,900330018,14,ef_com_00100_002_003_00,
7,ルチア,32000101,……無いならどうして素直に謝罪しないのですか！,900320025,15,ef_com_00100_002_005_00,
8,アンジェレネ,33000101,うぅ……ご、ごめんなさぁい……！,900330020,14,










