#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,スポット会話,
#,,,脱ぎ癖,
1,アニェーゼ,31000101,…………。,900310004,11,,
2,ルチア,32000101,アニェーゼ様？　もしかして眠いのでしょうか？,900320019,10,ef_com_00100_002_002_00,
3,アニェーゼ,31000101,うーん……。,900310015,11,,
#,,,#SE（衣擦れ音：ごそごそ）,
4,ルチア,32000101,あ、アニェーゼ様、目を覚まして下さい。<br>流石に共同スペースで服を脱ぎ始めるのは……。,900320017,14,ef_com_00100_002_003_00,
5,アニェーゼ,31000101,ん……ううーん……？,900310016,11,ef_com_00100_002_002_00,
6,ルチア,32000101,こうなってしまえば、もうだめですね。,900320015,11,
7,ルチア,32000101,しょうがありません。とりあえず<br>誰かに見られる前に寝室まで誘導しましょう……。,0,20,










