#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,チュートリアル,
#,,,潜在能力,
,,,#,,,
1,月詠 小萌,6000101,共闘は５人のプレイヤーで協力して<br>強力なボスと戦う制限時間つきのバトルです。,900060034,10,
2,月詠 小萌,6000101,基本的なルールは普段のものと変わりませんが、一緒に<br>挑戦している他プレイヤーからの共闘攻撃が入るです！,,12,
101,月詠 小萌,6000101,制限時間以内にボスを倒しきれれば勝利です！<br>倒しきれなくても貢献度に応じて報酬を貰えるですよー。,900060051,20,
102,月詠 小萌,6000101,報酬で貰える『共闘コイン』は覚醒結晶や<br>潜在能力育成素材などに交換することができるです。,,11,
103,月詠 小萌,6000101,共闘に挑むための挑戦回数は<br>スタミナを消費するたびに増えていきます。,900060050,10,
104,月詠 小萌,6000101,ただし、挑戦回数は１日１回リセットされて、<br>３回からのスタートになるので注意してくださいねー！,900060049,20,
105,月詠 小萌,6000101,開催される共闘の内容は日によって変わるので、<br>気になる人は毎日チェックするですよー。,900060059,12,
#,








































