#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,チュートリアル,
#,,,共闘,
,,,#,,,
1,月詠 小萌,6000101,異能大戦では３チーム分のバトルがまとめて<br>自動的に処理されます。,900060058,10,
2,月詠 小萌,6000101,しばらくすると対戦結果が発表されるので、<br>あとでまた、ここに見に来てくださいねー！,,12,
3,月詠 小萌,6000101,ちなみに、対戦結果発表時に「リプレイ」ボタンで、<br>各バトル結果の内容を見ることもできます。,900060059,10,
101,月詠 小萌,6000101,そして、ランキング上位の相手とのバトルで<br>勝利するとランキングが上がるですよー！,,12,
201,月詠 小萌,6000101,異能大戦でもいろんなタイミングで報酬が貰えるので、<br>詳しくは報酬欄をチェックしてみてくださいね。,900060034,10,
202,月詠 小萌,6000101,また、報酬で貰える『大戦コイン』は覚醒結晶や<br>成長素材などに交換することができるですよー。,,11,
203,月詠 小萌,6000101,それと、異能大戦は１日５回まで挑戦できます。,900060050,10,
204,月詠 小萌,6000101,しっかりとキャラクターを育てて挑戦して、<br>ガッツリと報酬を獲得しちゃってくださいねー。,900060052,12,







































