#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,チュートリアル,
#,,,HARD説明,
,,,#,,,
1,月詠 小萌,6000101,学園都市奪還戦がもうすぐ開催予定です。<br>こちらのイベントの前準備をお伝えするですよー。,900060001,10,
101,月詠 小萌,6000101,学園都市奪還戦とは、組織のメンバーと協力して、<br>制圧された全拠点の奪還を目指す組織イベントで、,900060051,20,
102,月詠 小萌,6000101,全ての拠点を奪還する事での全体奪還率１００％と<br>報酬の自販機ランク最大を目指すイベントですが……。,900060045,15,
201,月詠 小萌,6000101,このイベントが始まる前に、イベントの難易度である<br>『モード』を選択してもらいたいのですよー。,900060047,20,
202,月詠 小萌,6000101,なお、この『モード』選択は、組織のリーダーさんか、<br>サブリーダーさんが選択できるのです。,900060049,13,
203,月詠 小萌,6000101,『モード』は２種類あり、「ノーマルモード」か<br>「ハードモード」どちらか１つ選んでもらいます。,900060050,10,
301,月詠 小萌,6000101,「ノーマルモード」は、最大自販機ランク１０を目指して<br>学園都市奪還戦をカジュアルに遊べるモードです。,900060047,20,
302,月詠 小萌,6000101,１日に挑戦可能なチームは、１人３チームとなりますが<br>勝った場合など、同じチームで最大２回、挑戦可能です！,900060034,20,
303,月詠 小萌,6000101,イベントで入手できる「奪還コイン」は、<br>拠点奪還時の報酬のみで入手できます。,900060051,20,
401,月詠 小萌,6000101,「ハードモード」は、目標の最大自販機ランクが１５！<br>組織全体の実力が試されるチャレンジモードです。,900060033,10,
402,月詠 小萌,6000101,１日に挑戦可能なチームは、１人６チームとなりますが<br>こちらは１日１回のみ。勝っても追加挑戦はできません。,900060034,20,
403,月詠 小萌,6000101,ただ、イベントで入手できる「奪還コイン」は、<br>拠点奪還時の報酬に加えて、,900060017,10,
404,月詠 小萌,6000101,再度拠点ボスを倒した時に得られる再撃破報酬でも<br>入手することができます。,900060046,12,
501,月詠 小萌,6000101,当然、「ノーマルモード」より「ハードモード」の方が<br>難易度が高いですが、報酬量は多くなりますよー。,900060051,20,
502,月詠 小萌,6000101,以上が『モード』の紹介となります。<br>また詳しい内容はヘルプをチェックなのです。,900060050,10,
503,月詠 小萌,6000101,なお、『モード』はイベント予告期間中であれば<br>何度でも選択や変更可能なので、,900060059,22,
504,月詠 小萌,6000101,ご自身の組織に合った『モード』を<br>組織メンバーと相談して決めてくださいねー。,900060046,12,
505,月詠 小萌,6000101,ただし！　イベント開始後は『モード』変更はできないのと<br>１回のイベントではどちらかしか遊べません。,900060051,20,
506,月詠 小萌,6000101,それと、イベント開催までに『モード』が『未設定』だと、<br>「ノーマルモード」で開催されるので要注意なのです！,900060049,13,
507,月詠 小萌,6000101,それでは！<br>学園都市奪還戦が始まったら、またお会いしましょう！,900060054,12,
