#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,チュートリアル,
#,,,上位属性、覚醒能力のアピール用サブチュートリアル,
,,,#,,,
1,オティヌス,45000101,ありがたく思え。<br>この私が良い事を教えてやる。,900450031,10,
2,オティヌス,45000101,キャラクターの新要素として<br>『上位属性』『覚醒能力』の２つが追加されたぞ。,900450034,10,
101,オティヌス,45000101,『上位属性』とは『赤・青・緑・黄・紫』の上位にあたる<br>５属性『超赤・超青・超緑・超黄・超紫』。,900450050,11,
201,オティヌス,45000101,『赤・青・緑・黄・紫』という今までの通常属性への<br>ダメージが上昇する強力な属性となっている。,900450055,10,
202,オティヌス,45000101,『上位属性』同士での属性相性も当然あるが、<br>有利な相性の通常属性には大ダメージを与えるし、,900450053,10,
203,オティヌス,45000101,与えるダメージが上がるだけでなく、<br>通常属性から受けるダメージも下がることになる。,900450051,12,
204,オティヌス,45000101,『上位属性』は一部のキャラクターに付いているので<br>登場したら要チェックするんだな。,900450054,11,
205,オティヌス,45000101,そして、次は『覚醒能力』についてだ。,900450033,10,
206,オティヌス,45000101,『覚醒能力』とは、強化することで、潜在能力とは別に、<br>ステータスをさらに成長させることができるものだ。,900450050,12,
301,オティヌス,45000101,『覚醒能力』は一部のキャラクターを限界突破させ、<br>『★』の数を５以上にすると解放される。,900450049,11,
401,オティヌス,45000101,『覚醒能力』の解放可能なキャラクターかどうかは<br>ちゃんと調べておくんだな。,900450059,10,
402,オティヌス,45000101,さて。より詳しい内容が知りたければ、<br>お知らせやヘルプで見ておけよ。,900450038,20,
403,オティヌス,45000101,それじゃあ、せいぜい励めよ。<br>今後ともよろしくな。,900450052,12,
