#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,チュートリアル,
#,,,絶極領域説明,
,,,#,,,
1,インデックス,2000101,『<ruby=クライマックスバトル>絶極領域</ruby>』は高難易度バトルに<br>挑戦できるスペシャルコンテンツなんだよ！,900020034,10,
2,インデックス,2000101,『<ruby=クライマックスバトル>絶極領域</ruby>』には今までのバトルとは違って、すっごく<br>強い敵が待ち受けているから気を付けてほしいかも！,900020049,20,
101,インデックス,2000101,クエストは難易度別に複数種類あって、簡単な難易度を<br>クリアすることで次のクエストが解放されるんだけど、,900020058,12,
201,インデックス,2000101,クエストのプレイ評価を数えた累計ミッションがあって、<br>達成していくことで豪華な報酬が貰えるんだって！,900020047,10,
202,インデックス,2000101,「ダメージ総量」や「経過ターン数」で競うランキング<br>とかもあるから上位を目指して頑張ってほしいかも。,900020052,21,
301,インデックス,2000101,『<ruby=クライマックスバトル>絶極領域</ruby>』は基本的に毎週末、土曜の朝５時から月曜の<br>４時５９分までの間に挑戦できるんだよ。,900020053,22,
302,インデックス,2000101,未解放の部分は今後のアップデートで<br>解放されていく予定だから楽しみにしてるといいんだよ！,900020055,12,























