#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,チュートリアル,
#,,,オリジナルストーリー説明,
,,,#,,,
1,インデックス,2000101,『とある魔術の禁書目録 幻想収束』専用の<br>『オリジナルストーリー』へようこそ！　なんだよ。,900020058,10,
2,インデックス,2000101,新しい出会いもあるから、<br>『オリジナルストーリー』で確認すると良いかも！,900020034,21,
101,インデックス,2000101,『オリジナルストーリー』は通常のクエストと違って<br>専用の『挑戦ポイント』でクエストを遊べるんだって！,900020050,12,
102,インデックス,2000101,『挑戦ポイント』はスタミナを使用するクエストを<br>何回か遊ぶことで入手できるみたいだから、,900020052,10,
103,インデックス,2000101,毎日頑張って、クエストをたくさんクリアすると<br>良いんだよ。,,10,
201,インデックス,2000101,あと『挑戦ポイント』は毎週月曜日の朝５時にリセット<br>されるから、忘れないように覚えておくんだよ！,900020055,20,
202,インデックス,2000101,以上なんだよ。『とある魔術の禁書目録 幻想収束』の<br>『オリジナルストーリー』を楽しんでいってね♪,900020038,12,























