#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,チュートリアル,
#,,,所属サイド強化説明,
,,,#,,,
1,オティヌス,45000101,解放された『所属サイド強化』について説明してやろう。,900450032,10,
101,オティヌス,45000101,『所属サイド強化』とはそれぞれに設定された『科学サイ<br>ド』や『魔術サイド』などの所属サイド自体に対し,900450034,10,
102,オティヌス,45000101,ランク強化を行ない、所属するサイド別に<br>ランクに応じたステータスボーナスが取得できるものだ。,
201,オティヌス,45000101,これにより、所属者全員のステータスにボーナスが<br>追加され、今までよりも強くすることが可能だ。,900450051,12,
301,オティヌス,45000101,強化に必要な『魔術の叡智』『科学の叡智』は、<br>『オリジナルストーリー』で入手できるようだな。,
401,オティヌス,45000101,『オリジナルストーリー』では、他にも『グレード素材交<br>換チケット』なども入手できるから、確認しておけ。,900450059,10,
402,オティヌス,45000101,それじゃあ、せいぜい励めよ。,900450052,12,























