#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,遊び方,
#,,,ワールドイベント（arrowsタイアップ特別ミッション）,
#,,,#,,,
1,月詠 小萌,6000101,開催されているイベントの情報をお伝えするのです！,900060001,10,
2,月詠 小萌,6000101,今回のイベントは、arrows×幻想収束タイアップイベントと<br>連動した「ワールドイベント」となります！,
3,月詠 小萌,6000101,ワールドイベントとは、設定された目標の達成を、<br>全プレイヤーの皆さんで目指すイベントなのです！,900060034,20,
101,月詠 小萌,6000101,今回は、arrows×幻想収束タイアップイベントで取得できる<br>「arrows×幻想収束タイアップポイント」を集めることで、,900060050,20,
102,月詠 小萌,6000101,ワールドイベント内で設定されたポイント目標を<br>達成し、豪華報酬をゲットできる仕組みです！,
201,月詠 小萌,6000101,集めるポイントは、該当イベントの<br>デイリーミッションを毎日クリアすると取得できます！,900060049,13,
202,月詠 小萌,6000101,皆さんが集めたポイント数の合計が集計されて、<br>その結果で達成した報酬が、皆さんに配られます。,
203,月詠 小萌,6000101,今回のワールドイベントの達成報酬では<br>スマートフォン「arrows」とのタイアップを記念した,,10,
301,月詠 小萌,6000101,★3バトルキャラクター【派閥の休日】食蜂 操祈<br>をゲットすることができるのです！,900060034,
302,月詠 小萌,6000101,皆さんが一丸となって協力すれば<br>必ず目標を達成できると、先生は信じてますよー！,
303,月詠 小萌,6000101,目標の達成を目指して毎日頑張ってくださいねー！,900060052,12,
