#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,,,ストーリーイベント: ホワイトデー記念メッセージ,
#,,,システムメッセージ（初回）,,,,
#,,,#【青背景】,
1,,,祝『とある魔術の禁書目録　幻想収束』３周年！<br>いつも遊んで頂き、誠にありがとうございます！,
2,,,皆様への感謝を伝える<br>3rd Anniversaryリレーメッセージを開催させて頂きます！,
3,,,期間中は毎日キャラクターが日替わりで<br>３周年の御礼メッセージをお届けにまいります。,
4,,,キャラクターからのメッセージはボイス付きで、<br>当日を逃すと聞けませんのでご注意ください。,
5,,,さらに、毎日のメッセージの最後で<br>『3rdAnniversaryコイン』をプレゼント！,
6,,,誰からメッセージが届いているかは当日のお楽しみ！<br>是非、毎日ログインをしてくださいね♪,
,,,#END,





































































#,,,#END,


































































