#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,,,ストーリーイベント:とあるクイズ,
#,,,キャラクター名,,,,
#,,,#【青背景】,
1,吹寄 制理,8000201,よし、忘れずにちゃんと来たわね。<br>あたしからの第７問、準備は良いかしら？,900080001,10,,
2,吹寄 制理,8000201,校庭の草むしりを賭けて、上条と野球勝負したんだけど、<br>アイツが馬鹿にしてきたあたしが投げられる変化球は？,0,10,
3,吹寄 制理,8000201,正解は「フォーク」。手前でガクッと急降下してたはず<br>なんだから、ちゃんと見ろってのよね。,900080006,13,
4,吹寄 制理,8000201,硬式ならもっとキレが出ていたはずよ。勝負もうやむやに<br>なっちゃったから、機会があれば再戦も<ruby=やぶさ>吝</ruby>かじゃないわ。,900080026,13,,
#,,,#【ユーザーへのプレゼント付与ポップアップ表示】,
#,,,#END,





















































































































