#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,,,ストーリーイベント:とあるクイズ,
#,,,キャラクター名,,,,
#,,,#【青背景】,
1,絹旗 最愛,18000201,来るのを待っていましたよ。<br>第１１問は私から超出題させていただきます。,900180001,10,,
2,絹旗 最愛,18000201,『体晶』の使い過ぎで超入院した滝壺さんへ、<br>私が用意した見舞いの品とは何だったでしょう？,0,10,
3,絹旗 最愛,18000201,正解は「ウサギの超ぬいぐるみ」。まぁ、見舞いに<br>行った時にはもう退院できる状態だったんですけどね。,900180005,12,
4,絹旗 最愛,18000201,ぬいぐるみの耳で滝壺さんをバニー風に仕立てただけで<br>鼻血を出すなんて、浜面が超あそこまでバニーとは……。,900180015,14,,
#,,,#【ユーザーへのプレゼント付与ポップアップ表示】,
#,,,#END,





















































































































