#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,,,ストーリーイベント:とあるクイズ,
#,,,キャラクター名,,,,
#,,,#【青背景】,
1,建宮 斎字,29000101,よぉ、お前さんが来るのを待ってたのよ。<br>俺からの第１９問。じっくり考えるのよな。,900290001,12,,
2,建宮 斎字,29000101,シンデレラ大作戦として、俺が五和のために仕入れた衣装<br>「大精霊チラメイド」のデザイナーの活動拠点はどこか？,900290006,10,
3,建宮 斎字,29000101,正解は「ロンドン」。<ruby>女教皇様</ruby>の「堕天使エロメイド」の<br>他にも、色々と衣装が出ているって話なのよ。,900290005,12,,
4,建宮 斎字,29000101,今後もエ……ごほん、素敵な新衣装に期待して、<br>陰ながら応援したくなるというものなのよな。,900290002,17,
#,,,#【ユーザーへのプレゼント付与ポップアップ表示】,
#,,,#END,





















































































































