#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,チュートリアルテスト,
#,,,テスト,
,,,#,,,
1,月詠 小萌,6000101,次は「必殺技」と「スキル」について教えますよー。,,10,
2,月詠 小萌,6000101,キャラの行動に必殺技やスキルを設定することで、<br>通常攻撃のかわりにつかうことができるですよー。,,20,
3,月詠 小萌,6000101,必殺技はSPゲージを消費して発動する超強力な技です。<br>一発で大きくチャンスをつかめるですよー。,,12,
4,月詠 小萌,6000101,スキルはSPゲージを必要としない特技です。<br>味方に有利にしたり敵を不利にしたりいろいろあります。,,10,
5,月詠 小萌,6000101,どちらも発動後は数ターンつかえなくなってしまいます。<br>発動するタイミングはよく考えるのですよ？,,11,
6,月詠 小萌,6000101,それでは、上条ちゃんのスキルをつかってみましょう。,,10,
101,月詠 小萌,6000101,はい。スキルがちゃんと発動しました。,,12,
102,月詠 小萌,6000101,上条ちゃんのスキルはステータス上昇バフです。<br>数ターンの間、強化された状態で戦えますよー。,,20,
103,月詠 小萌,6000101,それでは、いよいよ必殺技の出番です！,,11,
104,月詠 小萌,6000101,必殺技はSPゲージを100溜めると使うことができるです。<br>本来は攻撃したりされたりすると溜まるのですが……,,20,
105,月詠 小萌,6000101,今回は先生がSPゲージを溜めておいたので、<br>遠慮なくつかっちゃってください！,,10,
106,月詠 小萌,6000101,それと必殺技はエネミーもつかってきます。エネミーの<br>場合はカウントゲージが溜まるとつかってくるですよ。,,11,
107,月詠 小萌,6000101,カウントゲージが溜まっているエネミーには、<br>気をつけるのですよ？,,10,
108,月詠 小萌,6000101,それでは、上条ちゃんの必殺技をつかってみましょう。<br>戦いに決着をつけるですよ！,,12,




































