#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,チュートリアルテスト,
#,,,テスト,
1,月詠 小萌,6000101,共闘では5人のプレイヤーで協力して<br>1体のボスとバトルをします。,,10,
2,月詠 小萌,6000101,基本的なバトルのルールは普段とは変わりませんが、<br>1ターンごとに他のプレイヤーと状況を共有するです。,,10,
3,月詠 小萌,6000101,制限時間以内にボスを倒しきれれば勝利です！<br>参加者の全員が撃破報酬を貰えますよー。,,10,
4,月詠 小萌,6000101,負けてしまった場合でも、一緒に戦っている誰かが<br>ボスを倒せば勝利となるので安心してくださいね。,,10,
5,月詠 小萌,6000101,ただしボスを倒しきれなかった場合は、それぞれが<br>与えたダメージによる個別報酬になってしまうです。,,10,
6,月詠 小萌,6000101,どちらにしてもたくさんダメージを与えたほうが<br>お得なのでガンガン攻撃しちゃってくださいねー。,,10,
7,月詠 小萌,6000101,報酬で貰える『共闘コイン』は<br>交換所で使えますよー。,,10,
8,月詠 小萌,6000101,それでは交換所に行ってみましょう。,,10,











































